land;jaar;competitienaam;scraped;cleaned;xml;n;format;format comment;play-offs;play-off comment;# relegated;relegation comment;comment
austria;2024-2025;bundesliga;1;1;;12;DRR + PO;puntenhalvering PO;tit + rel DRR + int KO;1-6 tit, 7-12 rel, daarn KO toernooi voor int 5 vs winnaar 7vs8;1;;Eerst DRR met 12 teams dan 6 eerste naar championship group (punten uit eerste deel gedeeld door 2, naar boven afgerond), 6 laatste voor degradatie (ook puntenhalvering). Ook DRR voor tweede deel van seizoen. Laatste degradeert. Voor cleaned data alleen eerste deel gehouden.
belgium;2024-2025;jupiler-pro-league;1;1;;16;DRR + PO;PH voor tit en int, PB voor rel;tit + int + rel DRR;1-6 ti, 7-12 int, 13-16 rel;2 to 3;;Eerst DRR met 16 teams, dan 1-6 DRR, 7-12 DRR (beide met puntehalvering naar boven afgerond), 13-16 DRR met puntenbehoud. 15-16 degraderen rechtsreeks. 14 speelt barrages. Alleen eerste deel gehouden voor cleaned data
cyprus;2024-2025;cyprus-league;1;1;;14;DRR +PO;PB;tit DRR + rel SRR;1-6 tit, 7-14 rel;3;;Eerst DRR met 14 teams, dan 1-6 DRR, 7-14 SRR. Punten uit eerste deel blijven behouden. Alleen eerste deel gehouden voor cleaned data
czech-republic;2024-2025;chance-liga;1;1;;16;DRR + PO;PB;tit, rel SRR, mid KO;1-6 tit, 7-10 mid, 11-16 rel;1 tot 3;14 en 15 HT finale tegen tweedeklassers;Eerst DRR met 16 teams, dan 1-6 SRR met behoud van punten, 7-10 spelen een heen-en terug knock out toernooi, 11-16 SRR met behoud van punten. Voor cleaned data alleen eerste deel gehouden
france;2024-2025;ligue-1;1;1;;18;DRR;;;;2 tot 3;;Normale DRR met 18 teams, team 17 en 18 zakken direct en 16 speelt knockout toernooi
germany;2024-2025;bundesliga;1;1;;18;DRR;;;;2 tot 3;;Normale DRR met 18 teams, team 17 en 18 zakken direct en 16 speelt heen en terug tegen nr 3 tweede klasse
hungary;2024-2025;nb-i;1;1;;12;3RR;;;;2;;Normale 3RR met 12 teams
ireland;2025;premier-division;1;1;;10;4RR;;;;1 tot 2;;Normale 4RR met 10 teams, 9 speelt finale voor behoud tegen winnanr knockouttoernooi 2-5 van tweede klasse
italy;2024-2025;serie-a;1;1;;20;DRR;;;;3;;Normale DRR met 20 teams
luxembourg;2024-2025;bgl-ligue;1;1;;16;DRR;;;;1 tot 3;;Normale DRR met 16 teams, 13 en 14 spelen tegen 4 en 3 van tweede klasse finale tegen degradatie
malta;2024-2025;premier-league;1;1;;12;SRR + PO, AC;PB;tit, rel SRR, KO voor titel;zie comment;1;laatste van A en C finale;Soort apertura en clausura. Eerst SRR met 12 teams dan top 6 en 7-12 SRR. Dit twee keer. Dan eerste 2 van apertura playoffs en clausura play offs spelen halve finale en finale voor de titel. Niet echt duidelijk hoe geloot wordt. Laatste na 7-12 play-offs spelen finale tegen degradatie. main van clausura gehouden. Thuismatchen niet balanced
netherlands;2024-2025;eredivisie;1;1;;18;DRR + PO;;int, rel KO;;2 tot 3;;Normale DRR met 18 teams, relegation knockout toernooi + knockout toernooi voor de conference league
northern-ireland;2024-2025;nifl-premiership;1;1;;12;3RR + PO;PB;"tit; rel SRR + int KO";;1 tot 2;;Eerst 3RR met 12 teams, dan 1-6 voor de titel SRR, 7-12 SRR tegen degradatie. 11 speelt heen en terug finale voor behoud. 4567 spelen knockout toernooi voor conference league ticket. Bekerwinnaar krijgt rechtstreeks ticket dus dan kan het knockout toernooi anders worden.
norway;2025;eliteserien;1;1;;16;DRR;;;;2 tot 3;;Normale DRR met 16 teams, 14 speelt relegation heen en terug finale
poland;2024-2025;ekstraklasa;1;1;;18;DRR;;;;3;;Normale DRR met 18 teams
portugal;2024-2025;liga-portugal;1;1;;18;DRR;;;;2 tot 3;;Normale DRR met 18 teams, 16 speelt heen en terug finale voor behoud
romania;2024-2025;superliga;1;1;;16;DRR + PO;PH;tit DRR, rel SRR;tit 1-6, rel 7-16;2 tot 4;;Eerst DRR met 16 teams, dan 1-6 DRR met puntenhalvering van main seizoen, 7-16 spelen een SRR met puntenhalvering van main. 13 en 14 spelen tegen tweedeklassers heen en terug finale voor behoud
russia;2024-2025;premier-league;1;1;;16;DRR;;;;2 tot 4;;Normale DRR met 16 teams, 13-14 spelen heen en reug finale tegen tweedeklassers
scotland;2024-2025;premiership;1;1;;12;3RR + PO;PB;tit, rel SRR;tit 1-6, rel 7-12;1 tot 2;;Eerst 3RR met 12 teams, dan 1-6 voor de titel SRR, 7-12 SRR tegen degradatie met behoud van punten beide. 11 speelt heen en terug finale voor behoud
slovakia;2024-2025;nike-liga;1;1;;12;DRR + PO;PB;tit, rel DRR + KO int;tit 1-6, rel 7-12;1 tot 2;;Eerst DRR met 12 teams, dan 1-6 DRR voor titel 7-12 DRR tegen degradatie, 11 speelt heen en terug finale voor behoud, 4-7 knockout toernooi voor conference leaugue
spain;2024-2025;laliga;1;1;;20;DRR;;;;3;;Normale DRR met 20 teams
switzerland;2024-2025;super-league;1;1;;12;3RR + PO;PB;tit, rel SRR;tit 1-6, rel 7-12;1 tot 2;;Eerst 3RR met 12 teams, dan 1-6 SRR, 7-12 SRR, 11 speelt heen en terug finale voor behoud
turkey;2024-2025;super-lig;1;1;;19;DRR;;;;4;;Normale DRR met 19 teams, maar seizoen 23-24 met 20 en 25-26 met 18
wales;2024-2025;cymru-premier;1;1;;12;DRR + PO;PB;tit, rel DRR + KO int;tit 1-6, rel 7-12;2;;Eerst DRR met 12 teams, dan 1-6 DRR voor titel 7-12 DRR tegen degradatie,  4-7 knockout toernooi voor heen en terug finale tegen 3 voor conference league finale
croatia;2024-2025;hnl;1;1;;10;4RR;;;;1;;Normale 4RR met 10 teams
denmark;2024-2025;superliga;1;1;;12;DRR + PO;PB;tit, rel DRR + int F;tit 1-6, rel 7-12;2;;Eerst DRR met 12 teams, dan 1-6 DRR voor titel 7-12 DRR tegen degradatie, 4 vs 7 finale voor conference league ticket
ukraine;2024-2025;premier-league;1;1;;16;DRR;;;;2 tot 4;;Normale DRR met 16 teams, 13 en 14 spelen heen en terug finale tegen tweedeklassers voor promotie
serbia;2024-2025;mozzart-bet-super-liga;1;1;;16;DRR + PO;PB;tit, rel SRR;tit 1-8, rel 9-16;2 tot 4;;Eerst normale DRR met 16 teams, 1-8 SRR voor titel, 9-16 SRR tegen degradatie, 13 en 14 heen en terug finale tegen tweedeklassers
sweden;2025;allsvenskan;1;1;;16;DRR;;;;2 tot 3;;Normale DRR met 16 teams, 14 speelt relegation heen en terug finale tegen tweedeklasser
