country,part,hapset,spread,fixed_part,width,spread_UB,n
croatia,3,"[[0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 0 1 0 1]
 [0 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 0 1]
 [0 1 0 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1]
 [1 0 1 1 0 1 0 1 0]
 [1 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 1 0 1 0]
 [1 0 1 0 1 0 1 1 0]]",177,0.1111111111111111,1,False,10
croatia,4,"[[1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 1 0 1 0]
 [1 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 0 1 0 1]
 [1 0 1 0 1 0 1 1 0]
 [1 0 1 1 0 1 0 1 0]
 [0 1 0 0 1 0 1 0 1]
 [0 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 0 1]]",177,0.1111111111111111,1,False,10
cyprus,1,"[[1 0 1 1 0 1 0 1 0 1 0 1 0]
 [1 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 1 0]
 [1 0 1 0 1 1 0 1 0 1 0 1 0]
 [0 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 1 0 1 0]
 [0 1 0 1 0 1 0 0 1 0 1 0 1]
 [0 1 0 1 0 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 1 0 1 0 1 0]
 [0 1 0 0 1 0 1 0 1 0 1 0 1]]",507,0.0769230769230769,1,False,14
cyprus,2,"[[0 1 0 0 1 0 1 0 1 0 1 0 1]
 [0 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 0 1]
 [0 1 0 1 0 0 1 0 1 0 1 0 1]
 [1 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 1 0]
 [1 0 1 0 1 0 1 0 1 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 0 1 0 1]
 [1 0 1 0 1 0 1 1 0 1 0 1 0]
 [1 0 1 0 1 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 0 1 0 1 0 1]
 [1 0 1 1 0 1 0 1 0 1 0 1 0]]",507,0.0769230769230769,1,False,14
czech-republic,1,"[[1 0 1 0 1 0 1 0 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 0 1]
 [1 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 0 1 0 1]
 [1 0 1 0 0 1 0 1 0 1 0 1 0 1 0]
 [0 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 0 1 0 1 0]
 [1 0 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 1 0]]",796,0.05,1,False,16
czech-republic,2,"[[1 0 1 0 1 0 1 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 1 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 1 0 1 0 1]
 [1 0 1 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 1 0 1 0 1 0]
 [1 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 0 1 0]]",796,0.05,1,False,16
denmark,1,"[[0 1 0 1 0 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 1 0]
 [0 1 0 1 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 0 1]
 [1 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 1 0 1 0]
 [1 0 0 1 0 1 0 0 1 0 1]
 [0 1 1 0 1 0 1 0 1 0 0]
 [0 0 1 1 0 1 0 1 0 1 0]
 [1 0 1 0 0 1 0 1 0 1 1]
 [1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 0 1 1 0 1 0 1 0]]",386,0.0151515151515151,1,False,12
denmark,2,"[[1 0 1 0 1 0 1 0 1 0 1]
 [1 0 0 1 0 1 0 1 0 0 1]
 [0 1 0 0 1 0 1 0 1 1 0]
 [0 1 0 1 0 1 1 0 1 0 1]
 [1 0 1 0 1 0 0 1 0 1 0]
 [1 0 1 1 0 0 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 1 0 1]
 [1 0 1 0 1 1 0 1 0 1 0]
 [0 1 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 0 1]
 [0 1 0 1 0 1 1 0 0 1 0]
 [1 0 1 0 1 0 1 0 1 1 0]]",327,0.0454545454545454,1,False,12
ecuador,1,"[[0 1 0 1 0 1 0 1 0 1 0 0 1 0 1]
 [0 1 0 1 0 0 1 1 0 1 0 1 0 1 0]
 [1 0 1 0 0 1 0 1 0 1 1 0 1 0 1]
 [0 1 0 0 1 0 1 0 1 0 1 1 0 1 0]
 [1 0 1 0 1 1 0 1 0 0 1 0 1 0 1]
 [0 1 0 1 1 0 1 0 1 0 0 1 0 1 0]
 [1 0 1 0 1 0 1 1 0 1 0 1 0 0 1]
 [1 0 1 0 1 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 1 0 1 0 1 0 1 0 1 0 0 1 0]
 [1 0 0 1 0 1 0 1 0 1 0 1 1 0 1]
 [0 1 0 1 0 1 0 0 1 0 1 0 1 0 1]
 [1 0 1 1 0 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 0 1 0 1 0 1 1 0]]",960,0.0,2,True,16
ecuador,2,"[[1 0 1 0 1 0 1 0 1 0 1 1 0 1 0]
 [1 0 1 0 1 1 0 0 1 0 1 0 1 0 1]
 [0 1 0 1 1 0 1 0 1 0 0 1 0 1 0]
 [0 1 0 1 0 0 1 0 1 1 0 1 0 1 0]
 [1 0 1 1 0 1 0 1 0 1 0 0 1 0 1]
 [0 1 0 1 0 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 0 1 0 1 0 1 1 0]
 [1 0 1 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 0 1 0 1 0 1 1 0 1 0 1]
 [0 1 0 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 0 1 0 1 0 1 0 1 0 1 1 0 1]
 [0 1 1 0 1 0 1 0 1 0 1 0 0 1 0]
 [1 0 1 0 1 0 1 1 0 1 0 1 0 1 0]
 [0 1 0 0 1 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 1 0 1 0 1 0 0 1]]",960,0.0,2,True,16
egypt,1,"[[1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0]
 [1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 1 0 0 1 0 1 0 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0]
 [0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1]
 [0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 1 0 1 0 1 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0 1]]",1289,0.0261437908496732,1,False,18
england,1,"[[0 1 0 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1]
 [0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1]
 [1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 1 0 0 1 0 1 1 0 1 0 0 1 0 1 0]
 [1 0 1 0 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0]
 [0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0]
 [0 1 0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 0 1]
 [0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1]
 [1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 1]
 [0 1 0 1 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 0 1 1 0 1 0 1 0 1 0 0 1 0 1 0]
 [0 1 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1]]",1900,0.0,2,True,20
england,2,"[[1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1]
 [0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 0 1 0 1]
 [1 0 0 1 0 1 1 0 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1]
 [1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 1 0 1 0]
 [1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 1 0 1 0]
 [1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 0]
 [0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 1]
 [1 0 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 1 0]
 [0 1 1 0 0 1 0 1 1 0 0 1 0 1 0 1 0 1 0]
 [0 1 1 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 0 1 0 1]
 [0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 0 1 0 1]
 [0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 1 0 1 0]
 [0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0 1 0]
 [1 0 0 1 0 1 0 1 1 0 0 1 0 1 0 0 1 0 1]]",1900,0.0,2,True,20
france,1,"[[0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0]
 [1 0 1 0 1 1 0 0 1 0 1 0 0 1 0 1 0]
 [0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0]
 [1 0 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1]
 [0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1]
 [0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0]
 [1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0 1]
 [1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0]
 [1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1]
 [1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1]
 [1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 0 1 0 1 0 1 0 1 1 0 1 0 1 0]
 [0 1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1]]",1377,0.0,2,True,18
france,2,"[[1 0 1 0 1 0 1 1 0 0 1 0 1 1 0 0 1]
 [1 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0]
 [1 0 0 1 0 1 1 0 1 0 1 0 0 1 1 0 1]
 [0 1 1 0 1 0 0 1 0 1 0 1 0 0 1 1 0]
 [0 1 0 1 0 1 0 1 1 0 0 1 0 1 1 0 1]
 [1 0 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1]
 [1 0 1 0 1 0 0 1 0 1 1 0 1 0 0 1 0]
 [1 1 0 0 1 0 1 0 1 0 1 1 0 1 0 0 1]
 [0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 1 0 1 0 1 0 0 1 0 1 1 0 0 1 0]
 [0 1 0 1 0 1 0 0 1 1 0 1 0 1 1 0 1]
 [0 1 0 1 0 1 1 0 0 1 0 1 0 0 1 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0]
 [0 0 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0]
 [1 0 1 0 1 1 0 1 0 0 1 0 1 0 0 1 0]
 [0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1]
 [1 0 0 1 0 1 1 0 0 1 0 1 1 0 1 0 1]
 [0 1 0 1 0 0 1 0 1 0 1 0 1 1 0 0 1]]",1377,0.0,2,True,18
germany,1,"[[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 1]
 [1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0]
 [0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1 0]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0]
 [1 0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1]
 [1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0]
 [1 0 1 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
 [0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1]
 [0 1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1]]",1235,0.0392156862745098,1,False,18
