round,date,team_home,team_away,full_text
Round 8,21.09.2025,Penarol,Juventud,21.09.2025 | Penarol | Juventud | 1 | 0
Round 8,21.09.2025,River Plate,Racing Montevideo,21.09.2025 | River Plate | Racing Montevideo | 2 | 3
Round 8,21.09.2025,CA Cerro,Miramar,21.09.2025 | CA Cerro | Miramar | 1 | 0
Round 8,21.09.2025,Progreso,Wanderers,21.09.2025 | Progreso | Wanderers | 2 | 0
Round 8,20.09.2025,Nacional,Liverpool M.,20.09.2025 | Nacional | Liverpool M. | 3 | 1
Round 8,20.09.2025,Boston River,Plaza Colonia,20.09.2025 | Boston River | Plaza Colonia | 6 | 1
Round 8,20.09.2025,Montevideo City,Cerro Largo,20.09.2025 | Montevideo City | Cerro Largo | 1 | 0
Round 8,20.09.2025,Defensor Sp.,Danubio,20.09.2025 | Defensor Sp. | Danubio | 2 | 1
Round 7,15.09.2025,Miramar,Wanderers,15.09.2025 | Miramar | Wanderers | 3 | 0
Round 7,14.09.2025,Plaza Colonia,Nacional,14.09.2025 | Plaza Colonia | Nacional | 1 | 2
Round 7,14.09.2025,Danubio,CA Cerro,14.09.2025 | Danubio | CA Cerro | 5 | 1
Round 7,14.09.2025,Juventud,Montevideo City,14.09.2025 | Juventud | Montevideo City | 0 | 1
Round 7,14.09.2025,River Plate,Progreso,14.09.2025 | River Plate | Progreso | 0 | 0
Round 7,13.09.2025,Cerro Largo,Defensor Sp.,13.09.2025 | Cerro Largo | Defensor Sp. | 1 | 0
Round 7,13.09.2025,Liverpool M.,Penarol,13.09.2025 | Liverpool M. | Penarol | 2 | 2
Round 7,13.09.2025,Racing Montevideo,Boston River,13.09.2025 | Racing Montevideo | Boston River | 0 | 0
Round 6,08.09.2025,Montevideo City,Liverpool M.,08.09.2025 | Montevideo City | Liverpool M. | 1 | 1
Round 6,07.09.2025,Nacional,Racing Montevideo,07.09.2025 | Nacional | Racing Montevideo | 3 | 0
Round 6,07.09.2025,Progreso,Miramar,07.09.2025 | Progreso | Miramar | 3 | 2
Round 6,07.09.2025,CA Cerro,Cerro Largo,07.09.2025 | CA Cerro | 2 | Cerro Largo | 0 | 1
Round 6,07.09.2025,Boston River,River Plate,07.09.2025 | Boston River | River Plate | 2 | 0
Round 6,06.09.2025,Penarol,Plaza Colonia,06.09.2025 | Penarol | Plaza Colonia | 1 | 0
Round 6,06.09.2025,Wanderers,Danubio,06.09.2025 | Wanderers | Danubio | 0 | 2
Round 6,06.09.2025,Defensor Sp.,Juventud,06.09.2025 | Defensor Sp. | Juventud | 1 | 0
Round 5,02.09.2025,Cerro Largo,Wanderers,02.09.2025 | Cerro Largo | Wanderers | 0 | 1
Round 5,01.09.2025,Boston River,Progreso,01.09.2025 | Boston River | Progreso | 2 | 1
Round 5,31.08.2025,Racing Montevideo,Penarol,31.08.2025 | Racing Montevideo | Penarol | 1 | 4
Round 5,31.08.2025,Juventud,CA Cerro,31.08.2025 | Juventud | CA Cerro | 1 | 0
Round 5,31.08.2025,Danubio,Miramar,31.08.2025 | Danubio | Miramar | 2 | 3
Round 5,31.08.2025,Plaza Colonia,Montevideo City,31.08.2025 | Plaza Colonia | Montevideo City | 2 | 4
Round 5,30.08.2025,River Plate,Nacional,30.08.2025 | River Plate | Nacional | 0 | 3
Round 5,30.08.2025,Liverpool M.,Defensor Sp.,30.08.2025 | Liverpool M. | Defensor Sp. | 2 | 0
Round 4,25.08.2025,Montevideo City,Racing Montevideo,25.08.2025 | Montevideo City | Racing Montevideo | 4 | 0
Round 4,24.08.2025,Penarol,River Plate,24.08.2025 | Penarol | River Plate | 2 | 0
Round 4,24.08.2025,CA Cerro,Liverpool M.,24.08.2025 | CA Cerro | Liverpool M. | 2 | 1
Round 4,24.08.2025,Progreso,Danubio,24.08.2025 | Progreso | Danubio | 1 | 0
Round 4,24.08.2025,Miramar,Cerro Largo,24.08.2025 | Miramar | Cerro Largo | 1 | 1
Round 4,23.08.2025,Nacional,Boston River,23.08.2025 | Nacional | Boston River | 0 | 0
Round 4,23.08.2025,Defensor Sp.,Plaza Colonia,23.08.2025 | Defensor Sp. | Plaza Colonia | 1 | 0
Round 4,23.08.2025,Wanderers,Juventud,23.08.2025 | Wanderers | Juventud | 0 | 1
Round 3,19.08.2025,Cerro Largo,Danubio,19.08.2025 | Cerro Largo | Danubio | 1 | 0
Round 3,17.08.2025,Plaza Colonia,CA Cerro,17.08.2025 | Plaza Colonia | CA Cerro | 0 | 2
Round 3,17.08.2025,Racing Montevideo,Defensor Sp.,17.08.2025 | Racing Montevideo | Defensor Sp. | 0 | 1
Round 3,17.08.2025,River Plate,Montevideo City,17.08.2025 | River Plate | Montevideo City | 0 | 2
Round 3,16.08.2025,Nacional,Progreso,16.08.2025 | Nacional | Progreso | 3 | 1
Round 3,16.08.2025,Liverpool M.,Wanderers,16.08.2025 | Liverpool M. | Wanderers | 2 | 1
Round 3,16.08.2025,Juventud,Miramar,16.08.2025 | Juventud | Miramar | 2 | 1
Round 3,16.08.2025,Boston River,Penarol,16.08.2025 | Boston River | Penarol | 2 | 1
Round 2,12.08.2025,Defensor Sp.,River Plate,12.08.2025 | Defensor Sp. | River Plate | 1 | 0
Round 2,10.08.2025,Miramar,Liverpool M.,10.08.2025 | Miramar | Liverpool M. | 0 | 1
Round 2,10.08.2025,Wanderers,Plaza Colonia,10.08.2025 | Wanderers | Plaza Colonia | 0 | 0
Round 2,10.08.2025,Danubio,Juventud,10.08.2025 | Danubio | Juventud | 2 | 1
Round 2,10.08.2025,CA Cerro,Racing Montevideo,10.08.2025 | CA Cerro | Racing Montevideo | 1 | 2
Round 2,09.08.2025,Penarol,Nacional,09.08.2025 | Penarol | Nacional | 3 | 0
Round 2,09.08.2025,Progreso,Cerro Largo,09.08.2025 | Progreso | Cerro Largo | 1 | 2
Round 2,09.08.2025,Montevideo City,Boston River,09.08.2025 | Montevideo City | Boston River | 1 | 1
Round 1,03.08.2025,Plaza Colonia,Miramar,03.08.2025 | Plaza Colonia | Miramar | 1 | 3
Round 1,03.08.2025,Liverpool M.,Danubio,03.08.2025 | Liverpool M. | Danubio | 0 | 0
Round 1,03.08.2025,Racing Montevideo,Wanderers,03.08.2025 | Racing Montevideo | Wanderers | 1 | 0
Round 1,03.08.2025,Boston River,Defensor Sp.,03.08.2025 | Boston River | Defensor Sp. | 4 | 0
Round 1,02.08.2025,Nacional,Montevideo City,02.08.2025 | Nacional | Montevideo City | 5 | 2
Round 1,02.08.2025,River Plate,CA Cerro,02.08.2025 | River Plate | CA Cerro | 0 | 0
Round 1,02.08.2025,Juventud,Cerro Largo,02.08.2025 | Juventud | Cerro Largo | 0 | 2
Round 1,02.08.2025,Penarol,Progreso,02.08.2025 | Penarol | Progreso | 2 | 1
Final,06.07.2025,Pen,Penarol,06.07.2025 | Pen | Penarol | Winner: Penarol | Nacional | 1 | 0 | 0 | 0
Round 7,01.07.2025,Cerro Largo,River Plate,01.07.2025 | Cerro Largo | River Plate | 2 | 2
Round 7,29.06.2025,Nacional,Danubio,29.06.2025 | Nacional | Danubio | 3 | 2
Round 7,29.06.2025,Racing Montevideo,Montevideo City,29.06.2025 | Racing Montevideo | Montevideo City | 1 | 1
Round 7,29.06.2025,Juventud,Progreso,29.06.2025 | Juventud | Progreso | 2 | 0
Round 7,29.06.2025,Boston River,Miramar,29.06.2025 | Boston River | Miramar | 1 | 2
Round 7,28.06.2025,Defensor Sp.,Plaza Colonia,28.06.2025 | Defensor Sp. | Plaza Colonia | 1 | 1
Round 7,28.06.2025,Penarol,CA Cerro,28.06.2025 | Penarol | CA Cerro | 2 | 0
Round 7,28.06.2025,Liverpool M.,Wanderers,28.06.2025 | Liverpool M. | Wanderers | 1 | 2
Round 6,24.06.2025,Cerro Largo,Plaza Colonia,24.06.2025 | Cerro Largo | Plaza Colonia | 0 | 1
Round 6,23.06.2025,Boston River,Montevideo City,23.06.2025 | Boston River | Montevideo City | 2 | 1
Round 6,23.06.2025,Defensor Sp.,CA Cerro,23.06.2025 | Defensor Sp. | CA Cerro | 2 | 1
Round 6,22.06.2025,Penarol,Wanderers,22.06.2025 | Penarol | Wanderers | 2 | 0
Round 6,22.06.2025,Racing Montevideo,Progreso,22.06.2025 | Racing Montevideo | Progreso | 3 | 0
Round 6,22.06.2025,River Plate,Liverpool M.,22.06.2025 | River Plate | Liverpool M. | 2 | 1
Round 6,21.06.2025,Miramar,Nacional,21.06.2025 | Miramar | Nacional | 0 | 2
Round 6,21.06.2025,Juventud,Danubio,21.06.2025 | Juventud | Danubio | 3 | 1
Round 5,19.06.2025,Plaza Colonia,River Plate,19.06.2025 | Plaza Colonia | River Plate | 0 | 0
Round 5,19.06.2025,Liverpool M.,Penarol,19.06.2025 | Liverpool M. | Penarol | 3 | 2
Round 5,19.06.2025,Progreso,Boston River,19.06.2025 | Progreso | Boston River | 2 | 0
Round 5,19.06.2025,CA Cerro,Cerro Largo,19.06.2025 | CA Cerro | Cerro Largo | 2 | 1
Round 5,19.06.2025,Nacional,Juventud,19.06.2025 | Nacional | Juventud | 4 | 1
Round 5,18.06.2025,Montevideo City,Miramar,18.06.2025 | Montevideo City | Miramar | 0 | 0
Round 5,18.06.2025,Danubio,Racing Montevideo,18.06.2025 | Danubio | Racing Montevideo | 1 | 2
Round 5,18.06.2025,Wanderers,Defensor Sp.,18.06.2025 | Wanderers | Defensor Sp. | 0 | 0
Round 4,15.06.2025,River Plate,Penarol,15.06.2025 | River Plate | Penarol | 1 | 3
Round 4,15.06.2025,Defensor Sp.,Liverpool M.,15.06.2025 | Defensor Sp. | Liverpool M. | 4 | 2
Round 4,14.06.2025,Racing Montevideo,Nacional,14.06.2025 | Racing Montevideo | 3 | Nacional | 1 | 2
Round 4,14.06.2025,Boston River,Danubio,14.06.2025 | Boston River | Danubio | 1 | 1
Round 4,14.06.2025,Miramar,Juventud,14.06.2025 | Miramar | Juventud | 0 | 1
Round 4,13.06.2025,Plaza Colonia,CA Cerro,13.06.2025 | Plaza Colonia | CA Cerro | 2 | 2
Round 4,13.06.2025,Montevideo City,Progreso,13.06.2025 | Montevideo City | Progreso | 2 | 3 | 1
Round 4,13.06.2025,Cerro Largo,Wanderers,13.06.2025 | Cerro Largo | Wanderers | 0 | 0
Round 3,08.06.2025,Nacional,Boston River,08.06.2025 | Nacional | Boston River | 2 | 1
Round 3,08.06.2025,Juventud,Racing Montevideo,08.06.2025 | Juventud | Racing Montevideo | 2 | 1
Round 3,08.06.2025,Progreso,Miramar,08.06.2025 | Progreso | Miramar | 1 | 0
Round 3,08.06.2025,Penarol,Defensor Sp.,08.06.2025 | Penarol | Defensor Sp. | 3 | 0
Round 3,07.06.2025,Wanderers,Plaza Colonia,07.06.2025 | Wanderers | Plaza Colonia | 1 | 1
Round 3,07.06.2025,Danubio,Montevideo City,07.06.2025 | Danubio | Montevideo City | 3 | 2
