round,date,team_home,team_away,full_text
Round 24,13.04.2025,Khimki,Krylya Sovetov,13.04.2025 | Khimki | Krylya Sovetov | 1 | 3
Round 24,13.04.2025,Zenit,Krasnodar,13.04.2025 | Zenit | Krasnodar | 4 | 1
Round 24,13.04.2025,Akron Togliatti,Fakel Voronezh,13.04.2025 | Akron Togliatti | Fakel Voronezh | 1 | 0
Round 24,12.04.2025,Akhmat Grozny,FK Rostov,12.04.2025 | Akhmat Grozny | FK Rostov | 2 | 1
Round 24,12.04.2025,Rubin Kazan,Lokomotiv Moscow,12.04.2025 | Rubin Kazan | Lokomotiv Moscow | 1 | 0
Round 24,12.04.2025,Pari NN,Dynamo Moscow,12.04.2025 | Pari NN | Dynamo Moscow | 1 | 1
Round 24,12.04.2025,Orenburg,CSKA Moscow,12.04.2025 | Orenburg | CSKA Moscow | 0 | 2
Round 24,11.04.2025,Spartak Moscow,Dynamo Makhachkala,11.04.2025 | Spartak Moscow | Dynamo Makhachkala | 1 | 2
Round 23,06.04.2025,CSKA Moscow,Dynamo Moscow,06.04.2025 | CSKA Moscow | Dynamo Moscow | 3 | 1
Round 23,06.04.2025,FK Rostov,Spartak Moscow,06.04.2025 | FK Rostov | Spartak Moscow | 0 | 3
Round 23,06.04.2025,Dynamo Makhachkala,Khimki,06.04.2025 | Dynamo Makhachkala | Khimki | 4 | 1
Round 23,05.04.2025,Krasnodar,Akron Togliatti,05.04.2025 | Krasnodar | Akron Togliatti | 1 | 0
Round 23,05.04.2025,Lokomotiv Moscow,Zenit,05.04.2025 | Lokomotiv Moscow | Zenit | 1 | 1
Round 23,05.04.2025,Fakel Voronezh,Akhmat Grozny,05.04.2025 | Fakel Voronezh | Akhmat Grozny | 0 | 0
Round 23,05.04.2025,Krylya Sovetov,Rubin Kazan,05.04.2025 | Krylya Sovetov | Rubin Kazan | 1 | 1
Round 23,04.04.2025,Pari NN,Orenburg,04.04.2025 | Pari NN | Orenburg | 1 | 2
Round 22,31.03.2025,Akron Togliatti,FK Rostov,31.03.2025 | Akron Togliatti | FK Rostov | 2 | 3
Round 22,30.03.2025,Zenit,Rubin Kazan,30.03.2025 | Zenit | Rubin Kazan | 4 | 0
Round 22,30.03.2025,Akhmat Grozny,Spartak Moscow,30.03.2025 | Akhmat Grozny | Spartak Moscow | 0 | 0
Round 22,30.03.2025,Krasnodar,Fakel Voronezh,30.03.2025 | Krasnodar | Fakel Voronezh | 5 | 0
Round 22,29.03.2025,CSKA Moscow,Dynamo Makhachkala,29.03.2025 | CSKA Moscow | Dynamo Makhachkala | 2 | 0
Round 22,29.03.2025,Khimki,Pari NN,29.03.2025 | Khimki | Pari NN | 2 | 0
Round 22,29.03.2025,Dynamo Moscow,Orenburg,29.03.2025 | Dynamo Moscow | Orenburg | 5 | 1
Round 22,28.03.2025,Krylya Sovetov,Lokomotiv Moscow,28.03.2025 | Krylya Sovetov | Lokomotiv Moscow | 5 | 1
Round 21,16.03.2025,Spartak Moscow,Zenit,16.03.2025 | Spartak Moscow | Zenit | 2 | 1
Round 21,16.03.2025,FK Rostov,Krasnodar,16.03.2025 | FK Rostov | Krasnodar | 0 | 1
Round 21,16.03.2025,Rubin Kazan,Pari NN,16.03.2025 | Rubin Kazan | Pari NN | 1 | 0
Round 21,16.03.2025,Akron Togliatti,CSKA Moscow,16.03.2025 | Akron Togliatti | CSKA Moscow | 1 | 2
Round 21,15.03.2025,Lokomotiv Moscow,Dynamo Moscow,15.03.2025 | Lokomotiv Moscow | Dynamo Moscow | 2 | 1
Round 21,15.03.2025,Dynamo Makhachkala,Krylya Sovetov,15.03.2025 | Dynamo Makhachkala | Krylya Sovetov | 4 | 0
Round 21,15.03.2025,Khimki,Akhmat Grozny,15.03.2025 | Khimki | Akhmat Grozny | 1 | 1
Round 21,15.03.2025,Orenburg,Fakel Voronezh,15.03.2025 | Orenburg | Fakel Voronezh | 1 | 0
Round 20,09.03.2025,Rubin Kazan,Spartak Moscow,09.03.2025 | Rubin Kazan | Spartak Moscow | 2 | 1
Round 20,09.03.2025,Krylya Sovetov,Akron Togliatti,09.03.2025 | Krylya Sovetov | Akron Togliatti | 0 | 2
Round 20,08.03.2025,Dynamo Moscow,Dynamo Makhachkala,08.03.2025 | Dynamo Moscow | Dynamo Makhachkala | 4 | 0
Round 20,08.03.2025,CSKA Moscow,Khimki,08.03.2025 | CSKA Moscow | Khimki | 1 | 0
Round 20,08.03.2025,Fakel Voronezh,Zenit,08.03.2025 | Fakel Voronezh | Zenit | 0 | 2
Round 20,08.03.2025,Orenburg,FK Rostov,08.03.2025 | Orenburg | FK Rostov | 1 | 2
Round 20,07.03.2025,Lokomotiv Moscow,Akhmat Grozny,07.03.2025 | Lokomotiv Moscow | Akhmat Grozny | 1 | 1
Round 20,07.03.2025,Pari NN,Krasnodar,07.03.2025 | Pari NN | Krasnodar | 0 | 3
Round 19,02.03.2025,FK Rostov,Dynamo Moscow,02.03.2025 | FK Rostov | Dynamo Moscow | 1 | 1
Round 19,02.03.2025,Spartak Moscow,Orenburg,02.03.2025 | Spartak Moscow | Orenburg | 2 | 0
Round 19,02.03.2025,Khimki,Fakel Voronezh,02.03.2025 | Khimki | Fakel Voronezh | 1 | 0
Round 19,01.03.2025,Krasnodar,Krylya Sovetov,01.03.2025 | Krasnodar | Krylya Sovetov | 1 | 1
Round 19,01.03.2025,Akhmat Grozny,Rubin Kazan,01.03.2025 | Akhmat Grozny | Rubin Kazan | 2 | 1
Round 19,01.03.2025,Zenit,CSKA Moscow,01.03.2025 | Zenit | CSKA Moscow | 0 | 0
Round 19,01.03.2025,Pari NN,Akron Togliatti,01.03.2025 | Pari NN | Akron Togliatti | 2 | 1
Round 19,28.02.2025,Dynamo Makhachkala,Lokomotiv Moscow,28.02.2025 | Dynamo Makhachkala | Lokomotiv Moscow | 1 | 1
Round 18,08.12.2024,Krasnodar,Lokomotiv Moscow,08.12.2024 | Krasnodar | Lokomotiv Moscow | 0 | 0
Round 18,08.12.2024,Akhmat Grozny,Orenburg,08.12.2024 | Akhmat Grozny | Orenburg | 1 | 0
Round 18,08.12.2024,Fakel Voronezh,CSKA Moscow,08.12.2024 | Fakel Voronezh | CSKA Moscow | 0 | 1
Round 18,08.12.2024,Dynamo Moscow,Khimki,08.12.2024 | Dynamo Moscow | Khimki | 4 | 1
Round 18,07.12.2024,Dynamo Makhachkala,Rubin Kazan,07.12.2024 | Dynamo Makhachkala | Rubin Kazan | 2 | 3
Round 18,07.12.2024,FK Rostov,Krylya Sovetov,07.12.2024 | FK Rostov | Krylya Sovetov | 3 | 1
Round 18,07.12.2024,Zenit,Akron Togliatti,07.12.2024 | Zenit | Akron Togliatti | 1 | 2
Round 18,07.12.2024,Spartak Moscow,Pari NN,07.12.2024 | Spartak Moscow | Pari NN | 3 | 0
Round 17,02.12.2024,Akhmat Grozny,Dynamo Moscow,02.12.2024 | Akhmat Grozny | Dynamo Moscow | 1 | 1
Round 17,01.12.2024,Krasnodar,Spartak Moscow,01.12.2024 | Krasnodar | Spartak Moscow | 0 | 3
Round 17,01.12.2024,Dynamo Makhachkala,Fakel Voronezh,01.12.2024 | Dynamo Makhachkala | Fakel Voronezh | 0 | 0
Round 17,01.12.2024,Zenit,Krylya Sovetov,01.12.2024 | Zenit | Krylya Sovetov | 2 | 3
Round 17,01.12.2024,Lokomotiv Moscow,Khimki,01.12.2024 | Lokomotiv Moscow | Khimki | 1 | 3
Round 17,30.11.2024,FK Rostov,Pari NN,30.11.2024 | FK Rostov | Pari NN | 4 | 0
Round 17,30.11.2024,CSKA Moscow,Rubin Kazan,30.11.2024 | CSKA Moscow | Rubin Kazan | 2 | 2
Round 17,30.11.2024,Akron Togliatti,Orenburg,30.11.2024 | Akron Togliatti | Orenburg | 1 | 0
Round 16,24.11.2024,Pari NN,Dynamo Makhachkala,24.11.2024 | Pari NN | Dynamo Makhachkala | 0 | 0
Round 16,24.11.2024,Fakel Voronezh,Dynamo Moscow,24.11.2024 | Fakel Voronezh | Dynamo Moscow | 1 | 1
Round 16,24.11.2024,Krylya Sovetov,Akhmat Grozny,24.11.2024 | Krylya Sovetov | Akhmat Grozny | 2 | 1
Round 16,23.11.2024,Spartak Moscow,Lokomotiv Moscow,23.11.2024 | Spartak Moscow | Lokomotiv Moscow | 5 | 2
Round 16,23.11.2024,Khimki,Krasnodar,23.11.2024 | Khimki | Krasnodar | 2 | 2
Round 16,23.11.2024,CSKA Moscow,FK Rostov,23.11.2024 | CSKA Moscow | FK Rostov | 1 | 2
Round 16,23.11.2024,Orenburg,Zenit,23.11.2024 | Orenburg | Zenit | 0 | 1
Round 16,22.11.2024,Rubin Kazan,Akron Togliatti,22.11.2024 | Rubin Kazan | Akron Togliatti | 3 | 0
Round 15,10.11.2024,Rubin Kazan,Krasnodar,10.11.2024 | Rubin Kazan | Krasnodar | 1 | 1
Round 15,10.11.2024,Akhmat Grozny,Zenit,10.11.2024 | Akhmat Grozny | Zenit | 1 | 2
Round 15,10.11.2024,Spartak Moscow,Akron Togliatti,10.11.2024 | Spartak Moscow | Akron Togliatti | 4 | 0
Round 15,10.11.2024,Krylya Sovetov,CSKA Moscow,10.11.2024 | Krylya Sovetov | CSKA Moscow | 1 | 2
Round 15,09.11.2024,Dynamo Moscow,Pari NN,09.11.2024 | Dynamo Moscow | Pari NN | 3 | 1
Round 15,09.11.2024,FK Rostov,Khimki,09.11.2024 | FK Rostov | Khimki | 3 | 1
Round 15,09.11.2024,Dynamo Makhachkala,Orenburg,09.11.2024 | Dynamo Makhachkala | Orenburg | 2 | 1
Round 15,09.11.2024,Lokomotiv Moscow,Fakel Voronezh,09.11.2024 | Lokomotiv Moscow | Fakel Voronezh | 2 | 1
Round 14,03.11.2024,Krasnodar,Orenburg,03.11.2024 | Krasnodar | Orenburg | 4 | 0
Round 14,03.11.2024,Fakel Voronezh,Khimki,03.11.2024 | Fakel Voronezh | Khimki | 1 | 1
Round 14,03.11.2024,Akhmat Grozny,Pari NN,03.11.2024 | Akhmat Grozny | Pari NN | 0 | 2
Round 14,03.11.2024,Akron Togliatti,Krylya Sovetov,03.11.2024 | Akron Togliatti | Krylya Sovetov | 2 | 0
Round 14,02.11.2024,CSKA Moscow,Spartak Moscow,02.11.2024 | CSKA Moscow | 2 | Spartak Moscow | 0 | 2
Round 14,02.11.2024,Lokomotiv Moscow,Rubin Kazan,02.11.2024 | Lokomotiv Moscow | Rubin Kazan | 1 | 0
Round 14,02.11.2024,Zenit,Dynamo Makhachkala,02.11.2024 | Zenit | Dynamo Makhachkala | 2 | 1
Round 14,01.11.2024,Dynamo Moscow,FK Rostov,01.11.2024 | Dynamo Moscow | FK Rostov | 1 | 1
Round 13,28.10.2024,Krylya Sovetov,Krasnodar,28.10.2024 | Krylya Sovetov | Krasnodar | 1 | 2
Round 13,27.10.2024,Zenit,Lokomotiv Moscow,27.10.2024 | Zenit | Lokomotiv Moscow | 1 | 1
Round 13,27.10.2024,Khimki,Dynamo Moscow,27.10.2024 | Khimki | Dynamo Moscow | 3 | 4
Round 13,27.10.2024,Pari NN,Spartak Moscow,27.10.2024 | Pari NN | Spartak Moscow | 0 | 2
Round 13,27.10.2024,Orenburg,Rubin Kazan,27.10.2024 | Orenburg | Rubin Kazan | 1 | 2
Round 13,26.10.2024,FK Rostov,Akhmat Grozny,26.10.2024 | FK Rostov | Akhmat Grozny | 2 | 3
Round 13,26.10.2024,CSKA Moscow,Fakel Voronezh,26.10.2024 | CSKA Moscow | Fakel Voronezh | 0 | 0
Round 13,26.10.2024,Dynamo Makhachkala,Akron Togliatti,26.10.2024 | Dynamo Makhachkala | Akron Togliatti | 1 | 1
Round 12,20.10.2024,Rubin Kazan,Dynamo Moscow,20.10.2024 | Rubin Kazan | Dynamo Moscow | 0 | 4
Round 12,20.10.2024,Orenburg,Krylya Sovetov,20.10.2024 | Orenburg | Krylya Sovetov | 2 | 2
Round 12,19.10.2024,Dynamo Makhachkala,CSKA Moscow,19.10.2024 | Dynamo Makhachkala | CSKA Moscow | 0 | 1
Round 12,19.10.2024,Khimki,Lokomotiv Moscow,19.10.2024 | Khimki | Lokomotiv Moscow | 2 | 0
