round,date,team_home,team_away,full_text
Round 20,23.02.2025,SO Armee,Korhogo,23.02.2025 | SO Armee | Korhogo | 0 | 0
Round 20,22.02.2025,Stade d'Abidjan,Olympique Sport,22.02.2025 | Stade d'Abidjan | Olympique Sport | 2 | 1
Round 20,22.02.2025,Stella Adjame,Lys Sassandra,22.02.2025 | Stella Adjame | Lys Sassandra | 0 | 0
Round 19,20.02.2025,Racing d'Abidjan,ISCA,20.02.2025 | Racing d'Abidjan | ISCA | 0 | 1
Round 19,19.02.2025,Mouna,San Pedro,19.02.2025 | Mouna | San Pedro | 2 | 1
Round 19,19.02.2025,ASEC Mimosas,Stella Adjame,19.02.2025 | ASEC Mimosas | Stella Adjame | 1 | 0
Round 19,19.02.2025,Bouake,Lys Sassandra,19.02.2025 | Bouake | Lys Sassandra | 2 | 0
Round 19,19.02.2025,Korhogo,Academie de FAD,19.02.2025 | Korhogo | Academie de FAD | 0 | 1
Round 19,19.02.2025,SO Armee,Stade d'Abidjan,19.02.2025 | SO Armee | Stade d'Abidjan | 0 | 2
Round 19,19.02.2025,Zoman,SOL,19.02.2025 | Zoman | SOL | 1 | 1
Round 18,16.02.2025,ISCA,SOL,16.02.2025 | ISCA | SOL | 0 | 0
Round 18,16.02.2025,Korhogo,AS Denguele,16.02.2025 | Korhogo | AS Denguele | 3 | 1
Round 18,16.02.2025,Stella Adjame,Zoman,16.02.2025 | Stella Adjame | Zoman | 0 | 1
Round 18,15.02.2025,Stade d'Abidjan,Racing d'Abidjan,15.02.2025 | Stade d'Abidjan | Racing d'Abidjan | 1 | 2
Round 18,15.02.2025,Academie de FAD,Mouna,15.02.2025 | Academie de FAD | Mouna | 0 | 1
Round 18,15.02.2025,Bouake,SO Armee,15.02.2025 | Bouake | SO Armee | 1 | 3
Round 18,15.02.2025,Lys Sassandra,San Pedro,15.02.2025 | Lys Sassandra | San Pedro | 1 | 2
Round 18,15.02.2025,Olympique Sport,ASEC Mimosas,15.02.2025 | Olympique Sport | ASEC Mimosas | 0 | 5
Round 17,09.02.2025,Zoman,Olympique Sport,09.02.2025 | Zoman | Olympique Sport | 1 | 1
Round 17,09.02.2025,AS Denguele,Bouake,09.02.2025 | AS Denguele | Bouake | 0 | 0
Round 17,09.02.2025,ASEC Mimosas,Academie de FAD,09.02.2025 | ASEC Mimosas | Academie de FAD | 1 | 2
Round 17,09.02.2025,ISCA,Stade d'Abidjan,09.02.2025 | ISCA | Stade d'Abidjan | 0 | 3
Round 17,09.02.2025,San Pedro,Korhogo,09.02.2025 | San Pedro | Korhogo | 1 | 3
Round 17,08.02.2025,Racing d'Abidjan,Stella Adjame,08.02.2025 | Racing d'Abidjan | Stella Adjame | 3 | 0
Round 17,08.02.2025,Mouna,SO Armee,08.02.2025 | Mouna | SO Armee | 0 | 1
Round 17,08.02.2025,SOL,Lys Sassandra,08.02.2025 | SOL | Lys Sassandra | 1 | 0
Round 16,02.02.2025,Stella Adjame,SOL,02.02.2025 | Stella Adjame | SOL | 1 | 1
Round 16,02.02.2025,Academie de FAD,Racing d'Abidjan,02.02.2025 | Academie de FAD | Racing d'Abidjan | 0 | 1
Round 16,02.02.2025,Korhogo,ASEC Mimosas,02.02.2025 | Korhogo | ASEC Mimosas | 1 | 1
Round 16,02.02.2025,Lys Sassandra,Zoman,02.02.2025 | Lys Sassandra | Zoman | 1 | 1
Round 16,01.02.2025,Olympique Sport,ISCA,01.02.2025 | Olympique Sport | ISCA | 1 | 2
Round 16,01.02.2025,Bouake,Mouna,01.02.2025 | Bouake | Mouna | 0 | 1
Round 16,01.02.2025,SO Armee,AS Denguele,01.02.2025 | SO Armee | AS Denguele | 0 | 1
Round 16,01.02.2025,Stade d'Abidjan,San Pedro,01.02.2025 | Stade d'Abidjan | San Pedro | 1 | 0
Round 15,31.12.2024,Stella Adjame,AS Denguele,31.12.2024 | Stella Adjame | AS Denguele | 1 | 1
Round 15,31.12.2024,ASEC Mimosas,SO Armee,31.12.2024 | ASEC Mimosas | SO Armee | 3 | 1
Round 15,31.12.2024,ISCA,Academie de FAD,31.12.2024 | ISCA | Academie de FAD | 2 | 1
Round 15,31.12.2024,Mouna,Racing d'Abidjan,31.12.2024 | Mouna | Racing d'Abidjan | 2 | 0
Round 15,31.12.2024,SOL,Bouake,31.12.2024 | SOL | Bouake | 0 | 2
Round 15,31.12.2024,Zoman,Korhogo,31.12.2024 | Zoman | 2 | Korhogo | 1 | 2
Round 15,30.12.2024,San Pedro,Olympique Sport,30.12.2024 | San Pedro | Olympique Sport | 2 | 1
Round 15,30.12.2024,Lys Sassandra,Stade d'Abidjan,30.12.2024 | Lys Sassandra | Stade d'Abidjan | 1 | 4
Round 14,28.12.2024,Bouake,ASEC Mimosas,28.12.2024 | Bouake | ASEC Mimosas | 0 | 0
Round 14,27.12.2024,Stade d'Abidjan,Zoman,27.12.2024 | Stade d'Abidjan | Zoman | 3 | 2
Round 13,24.12.2024,ASEC Mimosas,AS Denguele,24.12.2024 | ASEC Mimosas | AS Denguele | 2 | 0
Round 10,24.12.2024,Korhogo,Stade d'Abidjan,24.12.2024 | Korhogo | Stade d'Abidjan | 2 | 2
Round 13,21.12.2024,Stade d'Abidjan,Mouna,21.12.2024 | Stade d'Abidjan | Mouna | 1 | 1
Round 12,19.12.2024,ASEC Mimosas,Lys Sassandra,19.12.2024 | ASEC Mimosas | Lys Sassandra | 2 | 0
Round 12,18.12.2024,Academie de FAD,Stade d'Abidjan,18.12.2024 | Academie de FAD | Stade d'Abidjan | 1 | 3
Round 3,18.12.2024,ISCA,SOL,18.12.2024 | ISCA | SOL | 1 | 2
Round 14,13.12.2024,Olympique Sport,Lys Sassandra,13.12.2024 | Olympique Sport | Lys Sassandra | 0 | 0
Round 14,13.12.2024,Korhogo,Mouna,13.12.2024 | Korhogo | Mouna | 1 | 1
Round 14,13.12.2024,Racing d'Abidjan,San Pedro,13.12.2024 | Racing d'Abidjan | San Pedro | 0 | 3
Round 14,12.12.2024,AS Denguele,ISCA,12.12.2024 | AS Denguele | ISCA | 0 | 1
Round 14,12.12.2024,Academie de FAD,SOL,12.12.2024 | Academie de FAD | SOL | 2 | 3
Round 14,12.12.2024,SO Armee,Stella Adjame,12.12.2024 | SO Armee | Stella Adjame | 1 | 2
Round 13,09.12.2024,ISCA,Korhogo,09.12.2024 | ISCA | Korhogo | 1 | 1
Round 13,09.12.2024,SOL,Olympique Sport,09.12.2024 | SOL | Olympique Sport | 2 | 2
Round 13,08.12.2024,San Pedro,SO Armee,08.12.2024 | San Pedro | SO Armee | 4 | 1
Round 13,08.12.2024,Lys Sassandra,Racing d'Abidjan,08.12.2024 | Lys Sassandra | Racing d'Abidjan | 0 | 1
Round 13,08.12.2024,Stella Adjame,Academie de FAD,08.12.2024 | Stella Adjame | Academie de FAD | 0 | 1
Round 13,08.12.2024,Zoman,Bouake,08.12.2024 | Zoman | Bouake | 1 | 0
Round 12,05.12.2024,Racing d'Abidjan,Olympique Sport,05.12.2024 | Racing d'Abidjan | Olympique Sport | 0 | 0
Round 12,05.12.2024,SO Armee,SOL,05.12.2024 | SO Armee | SOL | 3 | 0
Round 12,04.12.2024,Mouna,ISCA,04.12.2024 | Mouna | ISCA | 1 | 1
Round 12,04.12.2024,Bouake,San Pedro,04.12.2024 | Bouake | San Pedro | 0 | 6
