round,date,team_home,team_away,full_text
Round 23,06.04.2025,Jeunesse Esch,Differdange,06.04.2025 | Jeunesse Esch | Differdange | 0 | 2
Round 23,06.04.2025,Mondercange,Rodange,06.04.2025 | Mondercange | Rodange | 0 | 2
Round 23,06.04.2025,Mondorf,Fola,06.04.2025 | Mondorf | Fola | 2 | 0
Round 23,06.04.2025,Union Titus Petange,Racing Luxembourg,06.04.2025 | Union Titus Petange | Racing Luxembourg | 1 | 0
Round 23,05.04.2025,Niedercorn,UNA Strassen,05.04.2025 | Niedercorn | UNA Strassen | 1 | 0
Round 22,30.03.2025,Differdange,Mondercange,30.03.2025 | Differdange | Mondercange | 4 | 0
Round 22,30.03.2025,Fola,Dudelange,30.03.2025 | Fola | Dudelange | 0 | 2
Round 22,30.03.2025,Hostert,Bettembourg,30.03.2025 | Hostert | Bettembourg | 1 | 3
Round 22,30.03.2025,UNA Strassen,Mondorf,30.03.2025 | UNA Strassen | Mondorf | 1 | 3
Round 22,30.03.2025,Victoria Rosport,Jeunesse Esch,30.03.2025 | Victoria Rosport | Jeunesse Esch | 1 | 1
Round 22,30.03.2025,Wiltz,Union Titus Petange,30.03.2025 | Wiltz | Union Titus Petange | 0 | 3
Round 22,29.03.2025,Racing Luxembourg,Niedercorn,29.03.2025 | Racing Luxembourg | Niedercorn | 1 | 3
Round 22,28.03.2025,Rodange,Hesperange,28.03.2025 | Rodange | Hesperange | 0 | 2
Round 21,16.03.2025,Niedercorn,Wiltz,16.03.2025 | Niedercorn | Wiltz | 3 | 1
Round 21,16.03.2025,Jeunesse Esch,Bettembourg,16.03.2025 | Jeunesse Esch | Bettembourg | 5 | 1
Round 21,16.03.2025,Dudelange,UNA Strassen,16.03.2025 | Dudelange | UNA Strassen | 1 | 3
Round 21,16.03.2025,Hesperange,Differdange,16.03.2025 | Hesperange | Differdange | 0 | 2
Round 21,16.03.2025,Hostert,Fola,16.03.2025 | Hostert | Fola | 2 | 1
Round 21,16.03.2025,Mondercange,Victoria Rosport,16.03.2025 | Mondercange | Victoria Rosport | 1 | 1
Round 21,16.03.2025,Mondorf,Racing Luxembourg,16.03.2025 | Mondorf | Racing Luxembourg | 0 | 1
Round 21,16.03.2025,Union Titus Petange,Rodange,16.03.2025 | Union Titus Petange | Rodange | 3 | 0
Round 20,09.03.2025,Bettembourg,Mondercange,09.03.2025 | Bettembourg | Mondercange | 2 | 1
Round 20,09.03.2025,Wiltz,Mondorf,09.03.2025 | Wiltz | Mondorf | 0 | 2
Round 20,08.03.2025,Differdange,Union Titus Petange,08.03.2025 | Differdange | Union Titus Petange | 2 | 0
Round 20,08.03.2025,Jeunesse Esch,Hostert,08.03.2025 | Jeunesse Esch | Hostert | 0 | 3
Round 20,08.03.2025,Racing Luxembourg,Dudelange,08.03.2025 | Racing Luxembourg | Dudelange | 1 | 1
Round 20,08.03.2025,Rodange,Niedercorn,08.03.2025 | Rodange | Niedercorn | 1 | 1
Round 20,08.03.2025,UNA Strassen,Fola,08.03.2025 | UNA Strassen | Fola | 3 | 0
Round 20,08.03.2025,Victoria Rosport,Hesperange,08.03.2025 | Victoria Rosport | Hesperange | 1 | 1
Round 19,02.03.2025,Dudelange,Wiltz,02.03.2025 | Dudelange | Wiltz | 3 | 1
Round 19,02.03.2025,Fola,Racing Luxembourg,02.03.2025 | Fola | Racing Luxembourg | 0 | 3
Round 19,02.03.2025,Hesperange,Bettembourg,02.03.2025 | Hesperange | Bettembourg | 1 | 0
Round 19,02.03.2025,Hostert,UNA Strassen,02.03.2025 | Hostert | UNA Strassen | 2 | 2
Round 19,02.03.2025,Mondercange,Jeunesse Esch,02.03.2025 | Mondercange | Jeunesse Esch | 1 | 0
Round 19,02.03.2025,Mondorf,Rodange,02.03.2025 | Mondorf | Rodange | 1 | 1
Round 19,02.03.2025,Union Titus Petange,Victoria Rosport,02.03.2025 | Union Titus Petange | Victoria Rosport | 0 | 0
Round 19,01.03.2025,Niedercorn,Differdange,01.03.2025 | Niedercorn | Differdange | 0 | 2
Round 18,23.02.2025,Bettembourg,Union Titus Petange,23.02.2025 | Bettembourg | 2 | Union Titus Petange | 1 | 3
Round 18,23.02.2025,Differdange,Mondorf,23.02.2025 | Differdange | Mondorf | 3 | 0
Round 18,23.02.2025,Victoria Rosport,Niedercorn,23.02.2025 | Victoria Rosport | Niedercorn | 0 | 0
Round 18,23.02.2025,Jeunesse Esch,Hesperange,23.02.2025 | Jeunesse Esch | Hesperange | 3 | 3
Round 18,23.02.2025,Mondercange,Hostert,23.02.2025 | Mondercange | Hostert | 2 | 4
Round 18,23.02.2025,Rodange,Dudelange,23.02.2025 | Rodange | Dudelange | 1 | 3
Round 18,23.02.2025,Wiltz,Fola,23.02.2025 | Wiltz | Fola | 4 | 1
Round 18,22.02.2025,Racing Luxembourg,UNA Strassen,22.02.2025 | Racing Luxembourg | UNA Strassen | 0 | 1
Round 17,16.02.2025,Fola,Rodange,16.02.2025 | Fola | Rodange | 1 | 5
Round 17,16.02.2025,Hesperange,Mondercange,16.02.2025 | Hesperange | Mondercange | 0 | 0
Round 17,16.02.2025,Mondorf,Victoria Rosport,16.02.2025 | Mondorf | Victoria Rosport | 2 | 3
Round 17,16.02.2025,Hostert,Racing Luxembourg,16.02.2025 | Hostert | Racing Luxembourg | 1 | 0
Round 17,16.02.2025,Niedercorn,Bettembourg,16.02.2025 | Niedercorn | Bettembourg | 1 | 0
Round 17,16.02.2025,UNA Strassen,Wiltz,16.02.2025 | UNA Strassen | Wiltz | 3 | 0
Round 17,16.02.2025,Union Titus Petange,Jeunesse Esch,16.02.2025 | Union Titus Petange | Jeunesse Esch | 0 | 0
Round 17,15.02.2025,Dudelange,Differdange,15.02.2025 | Dudelange | Differdange | 0 | 1
Round 16,09.02.2025,Bettembourg,Mondorf,09.02.2025 | Bettembourg | Mondorf | 1 | 2
Round 16,09.02.2025,Differdange,Fola,09.02.2025 | Differdange | Fola | 4 | 0
Round 16,09.02.2025,Mondercange,Union Titus Petange,09.02.2025 | Mondercange | Union Titus Petange | 0 | 2
Round 16,09.02.2025,Victoria Rosport,Dudelange,09.02.2025 | Victoria Rosport | Dudelange | 0 | 3
Round 16,09.02.2025,Hesperange,Hostert,09.02.2025 | Hesperange | Hostert | 3 | 0
Round 16,09.02.2025,Jeunesse Esch,Niedercorn,09.02.2025 | Jeunesse Esch | Niedercorn | 3 | 1
Round 16,09.02.2025,Rodange,UNA Strassen,09.02.2025 | Rodange | UNA Strassen | 2 | 2
Round 16,09.02.2025,Wiltz,Racing Luxembourg,09.02.2025 | Wiltz | Racing Luxembourg | 1 | 0
