round,date,team_home,team_away,full_text
Round 24,06.04.2025,Vejle,Aalborg,06.04.2025 | Vejle | Aalborg | 1 | 1
Round 24,06.04.2025,Silkeborg,Lyngby,06.04.2025 | Silkeborg | Lyngby | 2 | 1
Round 24,06.04.2025,Viborg,Sonderjyske,06.04.2025 | Viborg | Sonderjyske | 2 | 1
Round 24,04.04.2025,Randers FC,Midtjylland,04.04.2025 | Randers FC | Midtjylland | 2 | 1
Round 23,31.03.2025,FC Copenhagen,Randers FC,31.03.2025 | FC Copenhagen | Randers FC | 1 | 0
Round 23,30.03.2025,Midtjylland,Brondby,30.03.2025 | Midtjylland | Brondby | 0 | 2
Round 23,30.03.2025,Aarhus,Nordsjaelland,30.03.2025 | Aarhus | Nordsjaelland | 2 | 0
Round 23,30.03.2025,Lyngby,Vejle,30.03.2025 | Lyngby | Vejle | 1 | 2
Round 23,30.03.2025,Sonderjyske,Silkeborg,30.03.2025 | Sonderjyske | Silkeborg | 2 | 1
Round 23,28.03.2025,Aalborg,Viborg,28.03.2025 | Aalborg | Viborg | 0 | 4
Round 22,16.03.2025,Brondby,Silkeborg,16.03.2025 | Brondby | Silkeborg | 2 | 2
Round 22,16.03.2025,Lyngby,Nordsjaelland,16.03.2025 | Lyngby | Nordsjaelland | 1 | 0
Round 22,16.03.2025,Midtjylland,Randers FC,16.03.2025 | Midtjylland | Randers FC | 4 | 2
Round 22,16.03.2025,Sonderjyske,Aalborg,16.03.2025 | Sonderjyske | Aalborg | 0 | 3
Round 22,16.03.2025,Vejle,Aarhus,16.03.2025 | Vejle | Aarhus | 3 | 2
Round 22,16.03.2025,Viborg,FC Copenhagen,16.03.2025 | Viborg | FC Copenhagen | 3 | 2
Round 21,10.03.2025,Randers FC,Brondby,10.03.2025 | Randers FC | Brondby | 4 | 2
Round 21,09.03.2025,FC Copenhagen,Sonderjyske,09.03.2025 | FC Copenhagen | Sonderjyske | 1 | 1
Round 21,09.03.2025,Aarhus,Viborg,09.03.2025 | Aarhus | Viborg | 1 | 1
Round 21,09.03.2025,Aalborg,Midtjylland,09.03.2025 | Aalborg | Midtjylland | 1 | 4
Round 21,09.03.2025,Silkeborg,Lyngby,09.03.2025 | Silkeborg | Lyngby | 0 | 1
Round 21,07.03.2025,Nordsjaelland,Vejle,07.03.2025 | Nordsjaelland | Vejle | 3 | 1
Round 20,03.03.2025,Brondby,Lyngby,03.03.2025 | Brondby | Lyngby | 1 | 1
Round 20,02.03.2025,Aalborg,FC Copenhagen,02.03.2025 | Aalborg | FC Copenhagen | 0 | 0
Round 20,02.03.2025,Midtjylland,Nordsjaelland,02.03.2025 | Midtjylland | Nordsjaelland | 2 | 1
Round 20,02.03.2025,Sonderjyske,Silkeborg,02.03.2025 | Sonderjyske | Silkeborg | 1 | 3
Round 20,02.03.2025,Viborg,Vejle,02.03.2025 | Viborg | Vejle | 3 | 1
Round 20,28.02.2025,Randers FC,Aarhus,28.02.2025 | Randers FC | Aarhus | 1 | 1
Round 18,26.02.2025,Aalborg,Nordsjaelland,26.02.2025 | Aalborg | Nordsjaelland | 1 | 2
Round 19,24.02.2025,Viborg,Silkeborg,24.02.2025 | Viborg | Silkeborg | 1 | 4
Round 19,23.02.2025,FC Copenhagen,Midtjylland,23.02.2025 | FC Copenhagen | Midtjylland | 1 | 0
Round 19,23.02.2025,Vejle,Brondby,23.02.2025 | Vejle | Brondby | 2 | 2
Round 19,23.02.2025,Aarhus,Aalborg,23.02.2025 | Aarhus | Aalborg | 4 | 0
Round 19,23.02.2025,Nordsjaelland,Sonderjyske,23.02.2025 | Nordsjaelland | Sonderjyske | 3 | 2
Round 19,21.02.2025,Lyngby,Randers FC,21.02.2025 | Lyngby | Randers FC | 0 | 0
Round 18,17.02.2025,Randers FC,FC Copenhagen,17.02.2025 | Randers FC | FC Copenhagen | 1 | 2
Round 18,16.02.2025,Midtjylland,Lyngby,16.02.2025 | Midtjylland | Lyngby | 1 | 0
Round 18,16.02.2025,Sonderjyske,Aarhus,16.02.2025 | Sonderjyske | Aarhus | 1 | 4
Round 18,16.02.2025,Silkeborg,Vejle,16.02.2025 | Silkeborg | Vejle | 0 | 1
Round 18,14.02.2025,Brondby,Viborg,14.02.2025 | Brondby | Viborg | 4 | 1
Round 17,02.12.2024,FC Copenhagen,Nordsjaelland,02.12.2024 | FC Copenhagen | Nordsjaelland | 3 | 1
Round 17,01.12.2024,Silkeborg,Aarhus,01.12.2024 | Silkeborg | Aarhus | 1 | 1
Round 17,01.12.2024,Vejle,Midtjylland,01.12.2024 | Vejle | Midtjylland | 0 | 3
Round 17,01.12.2024,Lyngby,Sonderjyske,01.12.2024 | Lyngby | Sonderjyske | 0 | 2
Round 17,01.12.2024,Viborg,Randers FC,01.12.2024 | Viborg | Randers FC | 1 | 2
Round 17,29.11.2024,Brondby,Aalborg,29.11.2024 | Brondby | Aalborg | 1 | 0
Round 16,25.11.2024,Midtjylland,Silkeborg,25.11.2024 | Midtjylland | Silkeborg | 1 | 0
Round 16,24.11.2024,FC Copenhagen,Lyngby,24.11.2024 | FC Copenhagen | Lyngby | 2 | 1
Round 16,24.11.2024,Sonderjyske,Brondby,24.11.2024 | Sonderjyske | Brondby | 2 | 2
Round 16,24.11.2024,Aalborg,Viborg,24.11.2024 | Aalborg | Viborg | 0 | 0
Round 16,24.11.2024,Randers FC,Vejle,24.11.2024 | Randers FC | Vejle | 2 | 0
Round 16,22.11.2024,Nordsjaelland,Aarhus,22.11.2024 | Nordsjaelland | Aarhus | 1 | 0
Round 15,10.11.2024,Brondby,Nordsjaelland,10.11.2024 | Brondby | Nordsjaelland | 1 | 1
Round 15,10.11.2024,Aarhus,FC Copenhagen,10.11.2024 | Aarhus | FC Copenhagen | 1 | 1
Round 15,10.11.2024,Viborg,Midtjylland,10.11.2024 | Viborg | Midtjylland | 1 | 0
Round 15,10.11.2024,Lyngby,Aalborg,10.11.2024 | Lyngby | Aalborg | 2 | 2
Round 15,10.11.2024,Silkeborg,Randers FC,10.11.2024 | Silkeborg | Randers FC | 1 | 0
Round 15,08.11.2024,Vejle,Sonderjyske,08.11.2024 | Vejle | Sonderjyske | 1 | 1
Round 14,04.11.2024,FC Copenhagen,Silkeborg,04.11.2024 | FC Copenhagen | Silkeborg | 2 | 2
Round 14,03.11.2024,Aalborg,Vejle,03.11.2024 | Aalborg | Vejle | 3 | 3
Round 14,03.11.2024,Aarhus,Lyngby,03.11.2024 | Aarhus | Lyngby | 2 | 1
Round 14,03.11.2024,Midtjylland,Brondby,03.11.2024 | Midtjylland | Brondby | 1 | 5
Round 14,03.11.2024,Nordsjaelland,Viborg,03.11.2024 | Nordsjaelland | Viborg | 2 | 1
Round 14,02.11.2024,Sonderjyske,Randers FC,02.11.2024 | Sonderjyske | Randers FC | 1 | 4
Round 13,28.10.2024,Randers FC,Nordsjaelland,28.10.2024 | Randers FC | Nordsjaelland | 4 | 0
Round 13,27.10.2024,Midtjylland,Aarhus,27.10.2024 | Midtjylland | Aarhus | 2 | 0
Round 13,27.10.2024,Viborg,Sonderjyske,27.10.2024 | Viborg | Sonderjyske | 4 | 2
Round 13,27.10.2024,Vejle,Lyngby,27.10.2024 | Vejle | Lyngby | 2 | 0
Round 13,27.10.2024,Brondby,FC Copenhagen,27.10.2024 | Brondby | FC Copenhagen | 0 | 0
Round 13,25.10.2024,Silkeborg,Aalborg,25.10.2024 | Silkeborg | Aalborg | 1 | 1
Round 12,21.10.2024,Aarhus,Brondby,21.10.2024 | Aarhus | Brondby | 1 | 0
Round 12,20.10.2024,Sonderjyske,Midtjylland,20.10.2024 | Sonderjyske | Midtjylland | 3 | 2
Round 12,20.10.2024,Nordsjaelland,Silkeborg,20.10.2024 | Nordsjaelland | Silkeborg | 1 | 1
Round 12,20.10.2024,Aalborg,Randers FC,20.10.2024 | Aalborg | Randers FC | 0 | 2
Round 12,20.10.2024,Lyngby,Viborg,20.10.2024 | Lyngby | Viborg | 0 | 0
Round 12,18.10.2024,FC Copenhagen,Vejle,18.10.2024 | FC Copenhagen | Vejle | 3 | 1
Round 11,06.10.2024,Silkeborg,FC Copenhagen,06.10.2024 | Silkeborg | FC Copenhagen | 2 | 2
Round 11,06.10.2024,Brondby,Midtjylland,06.10.2024 | Brondby | Midtjylland | 2 | 0
Round 11,06.10.2024,Viborg,Aarhus,06.10.2024 | Viborg | Aarhus | 1 | 1
Round 11,06.10.2024,Randers FC,Lyngby,06.10.2024 | Randers FC | Lyngby | 1 | 1
Round 11,06.10.2024,Sonderjyske,Nordsjaelland,06.10.2024 | Sonderjyske | Nordsjaelland | 1 | 4
Round 11,04.10.2024,Vejle,Aalborg,04.10.2024 | Vejle | Aalborg | 2 | 2
Round 10,30.09.2024,Nordsjaelland,Brondby,30.09.2024 | Nordsjaelland | Brondby | 4 | 1
Round 10,29.09.2024,Vejle,FC Copenhagen,29.09.2024 | Vejle | FC Copenhagen | 1 | 2
Round 10,29.09.2024,Lyngby,Silkeborg,29.09.2024 | Lyngby | Silkeborg | 2 | 2
Round 10,29.09.2024,Aalborg,Sonderjyske,29.09.2024 | Aalborg | Sonderjyske | 3 | 0
Round 10,29.09.2024,Midtjylland,Viborg,29.09.2024 | Midtjylland | Viborg | 3 | 1
Round 10,28.09.2024,Aarhus,Randers FC,28.09.2024 | Aarhus | Randers FC | 2 | 2
