round,date,team_home,team_away,full_text
Round 7,28.03.2025,Shamrock Rovers,Derry City,28.03.2025 | Shamrock Rovers | Derry City | 0 | 0
Round 7,28.03.2025,Bohemians,Galway,28.03.2025 | Bohemians | Galway | 0 | 2
Round 7,28.03.2025,Cork City,Drogheda,28.03.2025 | Cork City | Drogheda | 1 | 1
Round 7,28.03.2025,Sligo Rovers,Shelbourne,28.03.2025 | Sligo Rovers | Shelbourne | 1 | 2
Round 7,28.03.2025,Waterford,St. Patricks,28.03.2025 | Waterford | St. Patricks | 1 | 2
Round 6,15.03.2025,Sligo Rovers,Derry City,15.03.2025 | Sligo Rovers | Derry City | 0 | 1
Round 6,14.03.2025,Drogheda,Shamrock Rovers,14.03.2025 | Drogheda | Shamrock Rovers | 1 | 2
Round 6,14.03.2025,Galway,Waterford,14.03.2025 | Galway | Waterford | 1 | 0
Round 6,14.03.2025,Shelbourne,Cork City,14.03.2025 | Shelbourne | Cork City | 1 | 1
Round 6,14.03.2025,St. Patricks,Bohemians,14.03.2025 | St. Patricks | Bohemians | 3 | 0
Round 5,07.03.2025,Cork City,Sligo Rovers,07.03.2025 | Cork City | Sligo Rovers | 1 | 1
Round 5,07.03.2025,Derry City,Galway,07.03.2025 | Derry City | Galway | 1 | 1
Round 5,07.03.2025,Shamrock Rovers,St. Patricks,07.03.2025 | Shamrock Rovers | St. Patricks | 1 | 0
Round 5,07.03.2025,Shelbourne,Drogheda,07.03.2025 | Shelbourne | Drogheda | 0 | 1
Round 5,07.03.2025,Waterford,Bohemians,07.03.2025 | Waterford | Bohemians | 0 | 3
Round 4,03.03.2025,Bohemians,Drogheda,03.03.2025 | Bohemians | Drogheda | 0 | 1
Round 4,03.03.2025,Galway,Shelbourne,03.03.2025 | Galway | Shelbourne | 1 | 1
Round 4,03.03.2025,Sligo Rovers,Shamrock Rovers,03.03.2025 | Sligo Rovers | Shamrock Rovers | 2 | 1
Round 4,03.03.2025,St. Patricks,Derry City,03.03.2025 | St. Patricks | Derry City | 2 | 0
Round 4,03.03.2025,Waterford,Cork City,03.03.2025 | Waterford | Cork City | 2 | 1
Round 3,28.02.2025,Cork City,Bohemians,28.02.2025 | Cork City | Bohemians | 2 | 1
Round 3,28.02.2025,Derry City,Waterford,28.02.2025 | Derry City | Waterford | 1 | 2
Round 3,28.02.2025,Drogheda,Galway,28.02.2025 | Drogheda | Galway | 1 | 1
Round 3,28.02.2025,Shelbourne,Shamrock Rovers,28.02.2025 | Shelbourne | Shamrock Rovers | 1 | 1
Round 3,28.02.2025,St. Patricks,Sligo Rovers,28.02.2025 | St. Patricks | Sligo Rovers | 4 | 3
Round 2,21.02.2025,Derry City,Bohemians,21.02.2025 | Derry City | Bohemians | 1 | 0
Round 2,21.02.2025,Drogheda,Sligo Rovers,21.02.2025 | Drogheda | Sligo Rovers | 3 | 0
Round 2,21.02.2025,Galway,St. Patricks,21.02.2025 | Galway | St. Patricks | 2 | 1
Round 2,21.02.2025,Waterford,Shelbourne,21.02.2025 | Waterford | Shelbourne | 0 | 1
Round 1,16.02.2025,Bohemians,Shamrock Rovers,16.02.2025 | Bohemians | Shamrock Rovers | 1 | 0
Round 1,15.02.2025,Sligo Rovers,Waterford,15.02.2025 | Sligo Rovers | Waterford | 2 | 3
Round 1,14.02.2025,Cork City,Galway,14.02.2025 | Cork City | Galway | 2 | 2
Round 1,14.02.2025,Shelbourne,Derry City,14.02.2025 | Shelbourne | Derry City | 3 | 1
Round 1,14.02.2025,St. Patricks,Drogheda,14.02.2025 | St. Patricks | Drogheda | 0 | 0
