round,date,team_home,team_away,full_text
Final,01.06.2025,Napredak,Winner: Napredak,01.06.2025 | Napredak | Winner: Napredak | Mladost GAT | 1 | 0
Round 32,22.04.2025,Radnicki Nis,IMT Novi Beograd,22.04.2025 | Radnicki Nis | IMT Novi Beograd | 1 | 1
Round 31,14.04.2025,Zeleznicar Pancevo,Jedinstvo U.,14.04.2025 | Zeleznicar Pancevo | Jedinstvo U. | 3 | 1
Round 31,14.04.2025,Napredak,Tekstilac Odzaci,14.04.2025 | Napredak | Tekstilac Odzaci | 0 | 1
Round 31,13.04.2025,IMT Novi Beograd,Sp. Subotica,13.04.2025 | IMT Novi Beograd | Sp. Subotica | 2 | 4
Round 31,13.04.2025,Vojvodina,Mladost,13.04.2025 | Vojvodina | Mladost | 3 | 1
Round 31,13.04.2025,TSC,Novi Pazar,13.04.2025 | TSC | Novi Pazar | 1 | 2
Round 31,13.04.2025,Cukaricki,Radnicki Nis,13.04.2025 | Cukaricki | Radnicki Nis | 2 | 2
Round 31,12.04.2025,Crvena zvezda,Partizan,12.04.2025 | Crvena zvezda | Partizan | 2 | 1
Round 31,12.04.2025,OFK Beograd Mozzart Bet,Radnicki 1923,12.04.2025 | OFK Beograd Mozzart Bet | Radnicki 1923 | 3 | 0
Round 30,07.04.2025,Cukaricki,IMT Novi Beograd,07.04.2025 | Cukaricki | IMT Novi Beograd | 0 | 2
Round 30,07.04.2025,Mladost,Vojvodina,07.04.2025 | Mladost | Vojvodina | 1 | 3
Round 30,07.04.2025,Novi Pazar,Radnicki Nis,07.04.2025 | Novi Pazar | Radnicki Nis | 3 | 3
Round 30,07.04.2025,TSC,Zeleznicar Pancevo,07.04.2025 | TSC | Zeleznicar Pancevo | 1 | 0
Round 30,06.04.2025,Jedinstvo U.,Napredak,06.04.2025 | Jedinstvo U. | Napredak | 0 | 0
Round 30,06.04.2025,Crvena zvezda,OFK Beograd Mozzart Bet,06.04.2025 | Crvena zvezda | OFK Beograd Mozzart Bet | 3 | 1
Round 30,06.04.2025,Radnicki 1923,Partizan,06.04.2025 | Radnicki 1923 | Partizan | 0 | 2
Round 30,05.04.2025,Tekstilac Odzaci,Sp. Subotica,05.04.2025 | Tekstilac Odzaci | Sp. Subotica | 2 | 0
Round 29,30.03.2025,Zeleznicar Pancevo,Cukaricki,30.03.2025 | Zeleznicar Pancevo | Cukaricki | 1 | 2
Round 29,30.03.2025,Sp. Subotica,Mladost,30.03.2025 | Sp. Subotica | Mladost | 0 | 0
Round 29,30.03.2025,OFK Beograd Mozzart Bet,Jedinstvo U.,30.03.2025 | OFK Beograd Mozzart Bet | Jedinstvo U. | 3 | 0
Round 29,29.03.2025,Napredak,Radnicki 1923,29.03.2025 | Napredak | Radnicki 1923 | 1 | 0
Round 29,29.03.2025,Vojvodina,Crvena zvezda,29.03.2025 | Vojvodina | Crvena zvezda | 3 | 5
Round 29,29.03.2025,Partizan,TSC,29.03.2025 | Partizan | TSC | 0 | 0
Round 29,29.03.2025,Radnicki Nis,Tekstilac Odzaci,29.03.2025 | Radnicki Nis | Tekstilac Odzaci | 1 | 2
Round 29,28.03.2025,IMT Novi Beograd,Novi Pazar,28.03.2025 | IMT Novi Beograd | Novi Pazar | 0 | 0
Round 28,17.03.2025,Novi Pazar,Zeleznicar Pancevo,17.03.2025 | Novi Pazar | Zeleznicar Pancevo | 3 | 1
Round 28,16.03.2025,Mladost,Radnicki Nis,16.03.2025 | Mladost | Radnicki Nis | 1 | 1
Round 28,16.03.2025,Cukaricki,Partizan,16.03.2025 | Cukaricki | Partizan | 0 | 1
