round,date,team_home,team_away,full_text
Round 5,09.11.2025,LDU Quito,Libertad,09.11.2025 | LDU Quito | Libertad | 3 | 1
Round 5,08.11.2025,Ind. del Valle,U. Catolica,08.11.2025 | Ind. del Valle | U. Catolica | 0 | 2
Round 4,08.11.2025,Manta,Mushuc Runa,08.11.2025 | Manta | Mushuc Runa | 3 | 0
Round 5,08.11.2025,Dep. Cuenca,Macara,08.11.2025 | Dep. Cuenca | Macara | 0 | 2
Round 4,05.11.2025,LDU Quito,Orense,05.11.2025 | LDU Quito | Orense | 4 | 0
Round 4,04.11.2025,Libertad,Ind. del Valle,04.11.2025 | Libertad | Ind. del Valle | 1 | 3
Round 4,03.11.2025,U. Catolica,Barcelona SC,03.11.2025 | U. Catolica | Barcelona SC | 1 | 1
Round 4,02.11.2025,Macara,Emelec,02.11.2025 | Macara | Emelec | 3 | 0
Round 3,02.11.2025,Vinotinto,Manta,02.11.2025 | Vinotinto | Manta | 2 | 2 | 0
Round 4,01.11.2025,Aucas,EL Nacional,01.11.2025 | Aucas | EL Nacional | 3 | 3
Round 3,01.11.2025,Tecnico U.,Mushuc Runa,01.11.2025 | Tecnico U. | Mushuc Runa | 0 | 0
Round 4,01.11.2025,Delfin,Dep. Cuenca,01.11.2025 | Delfin | Dep. Cuenca | 2 | 0
Round 3,27.10.2025,Emelec,Delfin,27.10.2025 | Emelec | Delfin | 1 | 0
Round 3,26.10.2025,EL Nacional,Macara,26.10.2025 | EL Nacional | Macara | 2 | 0
Round 2,26.10.2025,Vinotinto,Tecnico U.,26.10.2025 | Vinotinto | Tecnico U. | 1 | 2
Round 3,26.10.2025,Dep. Cuenca,Aucas,26.10.2025 | Dep. Cuenca | Aucas | 1 | 2
Round 3,25.10.2025,Barcelona SC,Libertad,25.10.2025 | Barcelona SC | Libertad | 1 | 0
Round 2,25.10.2025,Mushuc Runa,Manta,25.10.2025 | Mushuc Runa | Manta | 1 | 1
Round 3,25.10.2025,Orense,U. Catolica,25.10.2025 | Orense | U. Catolica | 2 | 1
Round 2,21.10.2025,EL Nacional,Dep. Cuenca,21.10.2025 | EL Nacional | Dep. Cuenca | 0 | 2
Round 2,20.10.2025,Libertad,U. Catolica,20.10.2025 | Libertad | U. Catolica | 1 | 1
Round 2,19.10.2025,Aucas,Emelec,19.10.2025 | Aucas | Emelec | 0 | 0
Round 1,19.10.2025,Manta,Tecnico U.,19.10.2025 | Manta | Tecnico U. | 2 | 0
Round 2,19.10.2025,Delfin,Macara,19.10.2025 | Delfin | Macara | 0 | 4
Round 1,18.10.2025,Mushuc Runa,Vinotinto,18.10.2025 | Mushuc Runa | Vinotinto | 2 | 1
Round 2,18.10.2025,LDU Quito,Barcelona SC,18.10.2025 | LDU Quito | Barcelona SC | 3 | 0
Round 2,18.10.2025,Orense,Ind. del Valle,18.10.2025 | Orense | Ind. del Valle | 1 | 2
Round 1,06.10.2025,Barcelona SC,Ind. del Valle,06.10.2025 | Barcelona SC | Ind. del Valle | 0 | 3
Round 1,05.10.2025,Libertad,Orense,05.10.2025 | Libertad | Orense | 2 | 0
Round 1,05.10.2025,Macara,Aucas,05.10.2025 | Macara | Aucas | 3 | 2
