round,date,team_home,team_away,full_text
Round 28,14.04.2025,Lechia Gdansk,Stal Mielec,14.04.2025 | Lechia Gdansk | Stal Mielec | 3 | 2
Round 28,13.04.2025,Legia,Jagiellonia,13.04.2025 | Legia | Jagiellonia | 0 | 1
Round 28,13.04.2025,Motor Lublin,Lech Poznan,13.04.2025 | Motor Lublin | Lech Poznan | 1 | 2
Round 28,13.04.2025,Piast Gliwice,Pogon Szczecin,13.04.2025 | Piast Gliwice | Pogon Szczecin | 2 | 1
Round 28,12.04.2025,Rakow,Radomiak Radom,12.04.2025 | Rakow | Radomiak Radom | 2 | 1
Round 28,12.04.2025,Cracovia,Slask Wroclaw,12.04.2025 | Cracovia | Slask Wroclaw | 2 | 4
Round 28,12.04.2025,GKS Katowice,Puszcza,12.04.2025 | GKS Katowice | Puszcza | 3 | 1
Round 28,11.04.2025,Korona Kielce,Widzew Lodz,11.04.2025 | Korona Kielce | Widzew Lodz | 2 | 1
Round 28,11.04.2025,Zaglebie,Gornik Zabrze,11.04.2025 | Zaglebie | Gornik Zabrze | 2 | 1
Round 27,07.04.2025,Puszcza,Rakow,07.04.2025 | Puszcza | Rakow | 1 | 1
Round 27,06.04.2025,Pogon Szczecin,GKS Katowice,06.04.2025 | Pogon Szczecin | GKS Katowice | 4 | 0
Round 27,06.04.2025,Gornik Zabrze,Legia,06.04.2025 | Gornik Zabrze | Legia | 1 | 2
Round 27,06.04.2025,Jagiellonia,Piast Gliwice,06.04.2025 | Jagiellonia | Piast Gliwice | 1 | 1
Round 27,05.04.2025,Lech Poznan,Korona Kielce,05.04.2025 | Lech Poznan | Korona Kielce | 2 | 0
Round 27,05.04.2025,Slask Wroclaw,Motor Lublin,05.04.2025 | Slask Wroclaw | Motor Lublin | 1 | 1
Round 27,05.04.2025,Radomiak Radom,Zaglebie,05.04.2025 | Radomiak Radom | Zaglebie | 0 | 1
Round 27,04.04.2025,Widzew Lodz,Lechia Gdansk,04.04.2025 | Widzew Lodz | Lechia Gdansk | 2 | 0
Round 27,04.04.2025,Stal Mielec,Cracovia,04.04.2025 | Stal Mielec | Cracovia | 1 | 1
Round 26,31.03.2025,Zaglebie,Rakow,31.03.2025 | Zaglebie | Rakow | 0 | 2
