round,date,team_home,team_away,full_text
Round 21,09.02.2025,Bohemians,Ceske Budejovice,09.02.2025 | Bohemians | Ceske Budejovice | 1 | 0
Round 21,09.02.2025,Ostrava,Sigma Olomouc,09.02.2025 | Ostrava | Sigma Olomouc | 1 | 0
Round 21,09.02.2025,Jablonec,Slovacko,09.02.2025 | Jablonec | Slovacko | 4 | 2
Round 21,08.02.2025,Plzen,Liberec,08.02.2025 | Plzen | Liberec | 3 | 2
Round 21,08.02.2025,FK Pardubice,Slavia Prague,08.02.2025 | FK Pardubice | Slavia Prague | 0 | 2
Round 21,08.02.2025,Mlada Boleslav,Teplice,08.02.2025 | Mlada Boleslav | Teplice | 2 | 1
Round 20,03.02.2025,Sigma Olomouc,Plzen,03.02.2025 | Sigma Olomouc | Plzen | 2 | 1
Round 20,02.02.2025,Slavia Prague,Mlada Boleslav,02.02.2025 | Slavia Prague | Mlada Boleslav | 1 | 0
Round 20,02.02.2025,Jablonec,Bohemians,02.02.2025 | Jablonec | Bohemians | 0 | 1
Round 20,02.02.2025,Slovacko,Sparta Prague,02.02.2025 | Slovacko | Sparta Prague | 0 | 2
Round 20,01.02.2025,Hradec Kralove,FK Pardubice,01.02.2025 | Hradec Kralove | FK Pardubice | 3 | 0
Round 20,01.02.2025,Ceske Budejovice,Dukla Prague,01.02.2025 | Ceske Budejovice | Dukla Prague | 0 | 0
Round 20,01.02.2025,Liberec,Ostrava,01.02.2025 | Liberec | Ostrava | 0 | 1
Round 20,01.02.2025,Karvina,Teplice,01.02.2025 | Karvina | Teplice | 1 | 1
Round 19,15.12.2024,Plzen,Ceske Budejovice,15.12.2024 | Plzen | Ceske Budejovice | 7 | 2
Round 19,15.12.2024,Mlada Boleslav,Sigma Olomouc,15.12.2024 | Mlada Boleslav | Sigma Olomouc | 1 | 3
Round 19,15.12.2024,Teplice,Slavia Prague,15.12.2024 | Teplice | Slavia Prague | 1 | 0
Round 19,15.12.2024,Sparta Prague,Jablonec,15.12.2024 | Sparta Prague | Jablonec | 2 | 1
Round 19,14.12.2024,Ostrava,Slovacko,14.12.2024 | Ostrava | Slovacko | 3 | 1
Round 19,14.12.2024,Bohemians,Karvina,14.12.2024 | Bohemians | Karvina | 3 | 3
Round 19,14.12.2024,FK Pardubice,Liberec,14.12.2024 | FK Pardubice | Liberec | 1 | 1
Round 19,14.12.2024,Dukla Prague,Hradec Kralove,14.12.2024 | Dukla Prague | Hradec Kralove | 1 | 2
Round 18,08.12.2024,Hradec Kralove,Ostrava,08.12.2024 | Hradec Kralove | Ostrava | 0 | 1
Round 18,08.12.2024,Liberec,Teplice,08.12.2024 | Liberec | Teplice | 3 | 0
Round 18,08.12.2024,Sigma Olomouc,Slavia Prague,08.12.2024 | Sigma Olomouc | Slavia Prague | 1 | 2
Round 18,08.12.2024,Ceske Budejovice,Mlada Boleslav,08.12.2024 | Ceske Budejovice | Mlada Boleslav | 0 | 4
Round 18,08.12.2024,Karvina,Plzen,08.12.2024 | Karvina | Plzen | 1 | 2
Round 18,07.12.2024,Sparta Prague,Bohemians,07.12.2024 | Sparta Prague | Bohemians | 1 | 0
Round 18,07.12.2024,Jablonec,Dukla Prague,07.12.2024 | Jablonec | Dukla Prague | 2 | 1
Round 18,07.12.2024,Slovacko,FK Pardubice,07.12.2024 | Slovacko | FK Pardubice | 1 | 1
Round 8,05.12.2024,Plzen,Teplice,05.12.2024 | Plzen | Teplice | 1 | 1
Round 8,05.12.2024,Mlada Boleslav,Liberec,05.12.2024 | Mlada Boleslav | Liberec | 1 | 0
Round 8,05.12.2024,Ostrava,Slavia Prague,05.12.2024 | Ostrava | Slavia Prague | 0 | 1
Round 8,04.12.2024,Bohemians,Hradec Kralove,04.12.2024 | Bohemians | Hradec Kralove | 0 | 3
Round 8,04.12.2024,Dukla Prague,Slovacko,04.12.2024 | Dukla Prague | Slovacko | 1 | 2
Round 8,04.12.2024,FK Pardubice,Sigma Olomouc,04.12.2024 | FK Pardubice | Sigma Olomouc | 2 | 2
Round 8,04.12.2024,Jablonec,Ceske Budejovice,04.12.2024 | Jablonec | Ceske Budejovice | 5 | 0
Round 8,03.12.2024,Sparta Prague,Karvina,03.12.2024 | Sparta Prague | Karvina | 4 | 1
Round 17,01.12.2024,Plzen,Jablonec,01.12.2024 | Plzen | Jablonec | 3 | 2
Round 17,01.12.2024,FK Pardubice,Ceske Budejovice,01.12.2024 | FK Pardubice | Ceske Budejovice | 0 | 0
Round 17,01.12.2024,Mlada Boleslav,Hradec Kralove,01.12.2024 | Mlada Boleslav | Hradec Kralove | 3 | 0
Round 17,01.12.2024,Slavia Prague,Liberec,01.12.2024 | Slavia Prague | Liberec | 1 | 0
Round 17,30.11.2024,Dukla Prague,Sparta Prague,30.11.2024 | Dukla Prague | Sparta Prague | 1 | 1
Round 17,30.11.2024,Ostrava,Karvina,30.11.2024 | Ostrava | Karvina | 2 | 1
Round 17,30.11.2024,Teplice,Sigma Olomouc,30.11.2024 | Teplice | Sigma Olomouc | 1 | 0
Round 17,30.11.2024,Bohemians,Slovacko,30.11.2024 | Bohemians | Slovacko | 3 | 3
Round 15,27.11.2024,Sigma Olomouc,Slovacko,27.11.2024 | Sigma Olomouc | Slovacko | 2 | 2 | 1
Round 16,24.11.2024,Sigma Olomouc,Liberec,24.11.2024 | Sigma Olomouc | Liberec | 1 | 4
Round 16,24.11.2024,Ceske Budejovice,Slavia Prague,24.11.2024 | Ceske Budejovice | Slavia Prague | 0 | 4
Round 16,24.11.2024,Karvina,FK Pardubice,24.11.2024 | Karvina | FK Pardubice | 1 | 0
Round 16,24.11.2024,Bohemians,Dukla Prague,24.11.2024 | Bohemians | Dukla Prague | 3 | 1
Round 16,23.11.2024,Hradec Kralove,Plzen,23.11.2024 | Hradec Kralove | Plzen | 0 | 1
Round 16,23.11.2024,Slovacko,Mlada Boleslav,23.11.2024 | Slovacko | Mlada Boleslav | 1 | 1
Round 16,23.11.2024,Sparta Prague,Teplice,23.11.2024 | Sparta Prague | Teplice | 1 | 1
Round 16,23.11.2024,Jablonec,Ostrava,23.11.2024 | Jablonec | Ostrava | 3 | 1
Round 15,10.11.2024,Slavia Prague,Karvina,10.11.2024 | Slavia Prague | Karvina | 5 | 1
Round 15,10.11.2024,Mlada Boleslav,Sparta Prague,10.11.2024 | Mlada Boleslav | Sparta Prague | 2 | 2
Round 15,10.11.2024,Plzen,Bohemians,10.11.2024 | Plzen | Bohemians | 2 | 0
Round 15,10.11.2024,Teplice,Ceske Budejovice,10.11.2024 | Teplice | Ceske Budejovice | 5 | 2
Round 15,09.11.2024,FK Pardubice,Jablonec,09.11.2024 | FK Pardubice | Jablonec | 2 | 0
Round 15,09.11.2024,Liberec,Hradec Kralove,09.11.2024 | Liberec | Hradec Kralove | 0 | 0
Round 15,09.11.2024,Ostrava,Dukla Prague,09.11.2024 | Ostrava | Dukla Prague | 6 | 0
Round 14,03.11.2024,Hradec Kralove,Slavia Prague,03.11.2024 | Hradec Kralove | Slavia Prague | 1 | 1
Round 14,03.11.2024,Bohemians,FK Pardubice,03.11.2024 | Bohemians | FK Pardubice | 0 | 0
Round 14,03.11.2024,Slovacko,Plzen,03.11.2024 | Slovacko | Plzen | 1 | 0
Round 14,03.11.2024,Ceske Budejovice,Liberec,03.11.2024 | Ceske Budejovice | Liberec | 0 | 0
Round 14,02.11.2024,Sparta Prague,Ostrava,02.11.2024 | Sparta Prague | Ostrava | 1 | 3
Round 14,02.11.2024,Jablonec,Teplice,02.11.2024 | Jablonec | Teplice | 3 | 0
Round 14,02.11.2024,Karvina,Sigma Olomouc,02.11.2024 | Karvina | Sigma Olomouc | 2 | 1
Round 14,02.11.2024,Dukla Prague,Mlada Boleslav,02.11.2024 | Dukla Prague | Mlada Boleslav | 0 | 1
Round 13,27.10.2024,Plzen,Sparta Prague,27.10.2024 | Plzen | Sparta Prague | 1 | 0
Round 13,27.10.2024,Mlada Boleslav,Karvina,27.10.2024 | Mlada Boleslav | Karvina | 1 | 1
Round 13,27.10.2024,Slavia Prague,Dukla Prague,27.10.2024 | Slavia Prague | Dukla Prague | 3 | 0
Round 13,27.10.2024,Teplice,Bohemians,27.10.2024 | Teplice | Bohemians | 1 | 2
