round,date,team_home,team_away,full_text
Round 2,15.03.2025,Skalica,Trencin,15.03.2025 | Skalica | Trencin | 1 | 0
Round 1,09.03.2025,Trencin,Michalovce,09.03.2025 | Trencin | Michalovce | 3 | 2
Round 1,09.03.2025,Kosice,Slovan Bratislava,09.03.2025 | Kosice | Slovan Bratislava | 2 | 3
Round 1,08.03.2025,Trnava,Dun. Streda,08.03.2025 | Trnava | Dun. Streda | 1 | 1
Round 1,08.03.2025,Zilina,Podbrezova,08.03.2025 | Zilina | Podbrezova | 0 | 0
Round 1,08.03.2025,Banska Bystrica,Skalica,08.03.2025 | Banska Bystrica | Skalica | 0 | 2
Round 1,08.03.2025,Ruzomberok,Komarno,08.03.2025 | Ruzomberok | Komarno | 0 | 1
Round 22,01.03.2025,Banska Bystrica,Zilina,01.03.2025 | Banska Bystrica | Zilina | 1 | 2
Round 22,01.03.2025,Dun. Streda,Ruzomberok,01.03.2025 | Dun. Streda | Ruzomberok | 3 | 0
Round 22,01.03.2025,Kosice,Michalovce,01.03.2025 | Kosice | Michalovce | 3 | 2
Round 22,01.03.2025,Podbrezova,Komarno,01.03.2025 | Podbrezova | Komarno | 2 | 2
Round 22,01.03.2025,Skalica,Trencin,01.03.2025 | Skalica | Trencin | 0 | 0
Round 22,01.03.2025,Slovan Bratislava,Trnava,01.03.2025 | Slovan Bratislava | Trnava | 0 | 1
Round 20,25.02.2025,Komarno,Zilina,25.02.2025 | Komarno | Zilina | 1 | 0
Round 21,23.02.2025,Michalovce,Banska Bystrica,23.02.2025 | Michalovce | Banska Bystrica | 1 | 0
Round 21,23.02.2025,Trnava,Podbrezova,23.02.2025 | Trnava | Podbrezova | 1 | 1
Round 21,22.02.2025,Zilina,Dun. Streda,22.02.2025 | Zilina | Dun. Streda | 1 | 1
Round 21,22.02.2025,Komarno,Skalica,22.02.2025 | Komarno | Skalica | 0 | 0
Round 21,22.02.2025,Ruzomberok,Kosice,22.02.2025 | Ruzomberok | Kosice | 2 | 1
Round 21,22.02.2025,Trencin,Slovan Bratislava,22.02.2025 | Trencin | Slovan Bratislava | 1 | 1
Round 20,16.02.2025,Skalica,Ruzomberok,16.02.2025 | Skalica | Ruzomberok | 1 | 0
Round 20,16.02.2025,Trnava,Dun. Streda,16.02.2025 | Trnava | Dun. Streda | 1 | 1
Round 20,15.02.2025,Slovan Bratislava,Michalovce,15.02.2025 | Slovan Bratislava | Michalovce | 1 | 1
Round 20,15.02.2025,Kosice,Banska Bystrica,15.02.2025 | Kosice | Banska Bystrica | 4 | 0
Round 20,15.02.2025,Podbrezova,Trencin,15.02.2025 | Podbrezova | Trencin | 2 | 1
Round 19,09.02.2025,Ruzomberok,Slovan Bratislava,09.02.2025 | Ruzomberok | Slovan Bratislava | 1 | 5
Round 19,09.02.2025,Trencin,Komarno,09.02.2025 | Trencin | Komarno | 1 | 0
Round 19,08.02.2025,Zilina,Kosice,08.02.2025 | Zilina | Kosice | 0 | 2
Round 19,08.02.2025,Banska Bystrica,Trnava,08.02.2025 | Banska Bystrica | Trnava | 1 | 4
Round 19,08.02.2025,Dun. Streda,Skalica,08.02.2025 | Dun. Streda | Skalica | 3 | 1
Round 19,08.02.2025,Michalovce,Podbrezova,08.02.2025 | Michalovce | Podbrezova | 2 | 2
Round 18,15.12.2024,Komarno,Banska Bystrica,15.12.2024 | Komarno | Banska Bystrica | 3 | 0
Round 18,15.12.2024,Skalica,Zilina,15.12.2024 | Skalica | Zilina | 0 | 0
Round 18,14.12.2024,Slovan Bratislava,Dun. Streda,14.12.2024 | Slovan Bratislava | Dun. Streda | 2 | 1
Round 18,14.12.2024,Podbrezova,Ruzomberok,14.12.2024 | Podbrezova | Ruzomberok | 2 | 0
Round 18,14.12.2024,Trencin,Michalovce,14.12.2024 | Trencin | Michalovce | 0 | 0
Round 18,14.12.2024,Trnava,Kosice,14.12.2024 | Trnava | Kosice | 1 | 0
Round 17,08.12.2024,Dun. Streda,Trencin,08.12.2024 | Dun. Streda | Trencin | 3 | 3
Round 17,08.12.2024,Kosice,Skalica,08.12.2024 | Kosice | Skalica | 1 | 1
Round 17,07.12.2024,Zilina,Slovan Bratislava,07.12.2024 | Zilina | Slovan Bratislava | 2 | 1
Round 17,07.12.2024,Banska Bystrica,Podbrezova,07.12.2024 | Banska Bystrica | Podbrezova | 0 | 2
Round 17,07.12.2024,Michalovce,Komarno,07.12.2024 | Michalovce | Komarno | 0 | 0
Round 17,07.12.2024,Ruzomberok,Trnava,07.12.2024 | Ruzomberok | Trnava | 0 | 2
Round 12,04.12.2024,Slovan Bratislava,Komarno,04.12.2024 | Slovan Bratislava | Komarno | 6 | 0
Round 16,01.12.2024,Komarno,Kosice,01.12.2024 | Komarno | Kosice | 1 | 1
Round 16,01.12.2024,Slovan Bratislava,Banska Bystrica,01.12.2024 | Slovan Bratislava | Banska Bystrica | 3 | 1
Round 16,30.11.2024,Podbrezova,Dun. Streda,30.11.2024 | Podbrezova | Dun. Streda | 0 | 0
Round 16,30.11.2024,Michalovce,Ruzomberok,30.11.2024 | Michalovce | Ruzomberok | 4 | 2
Round 16,30.11.2024,Trencin,Zilina,30.11.2024 | Trencin | Zilina | 2 | 4
Round 16,30.11.2024,Trnava,Skalica,30.11.2024 | Trnava | Skalica | 2 | 0
Round 15,24.11.2024,Ruzomberok,Komarno,24.11.2024 | Ruzomberok | Komarno | 1 | 3
Round 15,23.11.2024,Zilina,Trnava,23.11.2024 | Zilina | Trnava | 3 | 1
Round 15,23.11.2024,Banska Bystrica,Trencin,23.11.2024 | Banska Bystrica | Trencin | 6 | 1
Round 15,23.11.2024,Dun. Streda,Michalovce,23.11.2024 | Dun. Streda | Michalovce | 0 | 1
Round 15,23.11.2024,Skalica,Podbrezova,23.11.2024 | Skalica | Podbrezova | 1 | 2
Round 15,22.11.2024,Kosice,Slovan Bratislava,22.11.2024 | Kosice | Slovan Bratislava | 1 | 1
Round 14,10.11.2024,Dun. Streda,Banska Bystrica,10.11.2024 | Dun. Streda | Banska Bystrica | 0 | 0
Round 14,10.11.2024,Podbrezova,Kosice,10.11.2024 | Podbrezova | Kosice | 0 | 0
