round,date,team_home,team_away,full_text
1/8-finals,23.11.2025,Velez Sarsfield,Argentinos Jrs,23.11.2025 | Velez Sarsfield | Argentinos Jrs | Advancing to next round: Argentinos Jrs | 0 | 2
Round 16,17.11.2025,Platense,Gimnasia L.P.,17.11.2025 | Platense | Gimnasia L.P. | 0 | 3
Round 16,17.11.2025,Barracas Central,Huracan,17.11.2025 | Barracas Central | Huracan | 1 | 1
Round 16,17.11.2025,Belgrano,Union de Santa Fe,17.11.2025 | Belgrano | Union de Santa Fe | 0 | 0
Round 16,17.11.2025,Defensa y Justicia,Ind. Rivadavia,17.11.2025 | Defensa y Justicia | Ind. Rivadavia | 0 | 2
Round 16,17.11.2025,Boca Juniors,Tigre,17.11.2025 | Boca Juniors | Tigre | 2 | 0
Round 16,17.11.2025,Central Cordoba,Banfield,17.11.2025 | Central Cordoba | Banfield | 1 | 1
Round 16,17.11.2025,Estudiantes L.P.,Argentinos Jrs,17.11.2025 | Estudiantes L.P. | Argentinos Jrs | 1 | 2
Round 16,17.11.2025,Newells Old Boys,Racing Club,17.11.2025 | Newells Old Boys | Racing Club | 0 | 1
Round 16,16.11.2025,Instituto,Talleres Cordoba,16.11.2025 | Instituto | Talleres Cordoba | 0 | 0
Round 16,16.11.2025,Velez Sarsfield,River Plate,16.11.2025 | Velez Sarsfield | River Plate | 0 | 0
Round 16,16.11.2025,Independiente,Rosario Central,16.11.2025 | Independiente | Rosario Central | 1 | 0
Round 16,15.11.2025,San Lorenzo,Sarmiento Junin,15.11.2025 | San Lorenzo | Sarmiento Junin | 1 | 1
Round 16,15.11.2025,Aldosivi,San Martin S.J.,15.11.2025 | Aldosivi | San Martin S.J. | 4 | 2
Round 16,15.11.2025,Godoy Cruz,Dep. Riestra,15.11.2025 | Godoy Cruz | Dep. Riestra | 1 | 1
Round 16,15.11.2025,Lanus,Atl. Tucuman,15.11.2025 | Lanus | Atl. Tucuman | 3 | 1
Round 15,11.11.2025,Argentinos Jrs,Belgrano,11.11.2025 | Argentinos Jrs | Belgrano | 1 | 0
Round 15,11.11.2025,Ind. Rivadavia,Central Cordoba,11.11.2025 | Ind. Rivadavia | Central Cordoba | 0 | 0
Round 15,10.11.2025,Dep. Riestra,Independiente,10.11.2025 | Dep. Riestra | Independiente | 0 | 1
Round 15,10.11.2025,Gimnasia L.P.,Velez Sarsfield,10.11.2025 | Gimnasia L.P. | Velez Sarsfield | 2 | 0
Round 15,10.11.2025,Atl. Tucuman,Godoy Cruz,10.11.2025 | Atl. Tucuman | Godoy Cruz | 2 | 1
Round 15,10.11.2025,Tigre,Estudiantes L.P.,10.11.2025 | Tigre | Estudiantes L.P. | 1 | 0
Round 15,09.11.2025,Banfield,Aldosivi,09.11.2025 | Banfield | Aldosivi | 0 | 1
Round 15,09.11.2025,Sarmiento Junin,Instituto,09.11.2025 | Sarmiento Junin | Instituto | 2 | 1
Round 15,09.11.2025,Boca Juniors,River Plate,09.11.2025 | Boca Juniors | River Plate | 2 | 0
Round 15,09.11.2025,San Martin S.J.,Lanus,09.11.2025 | San Martin S.J. | Lanus | 1 | 1
