round,date,team_home,team_away,full_text
Round 2,13.04.2025,Al Masry,Petrojet,13.04.2025 | Al Masry | Petrojet | 4 | 0
Round 2,12.04.2025,Pyramids,Al Ahly,12.04.2025 | Pyramids | Al Ahly | 1 | 1
Round 2,12.04.2025,Pharco,Ceramica Cleopatra,12.04.2025 | Pharco | Ceramica Cleopatra | 0 | 2
Round 2,11.04.2025,Ghazl El Mahallah,Smouha,11.04.2025 | Ghazl El Mahallah | Smouha | 1 | 0
Round 2,11.04.2025,ZED,El Gouna,11.04.2025 | ZED | El Gouna | 1 | 2
Round 2,10.04.2025,El Ismaily,Al Ittihad,10.04.2025 | El Ismaily | Al Ittihad | 0 | 0
Round 2,10.04.2025,Enppi,Modern Sport,10.04.2025 | Enppi | Modern Sport | 2 | 1
Round 1,13.03.2025,El Gaish,El Ismaily,13.03.2025 | El Gaish | El Ismaily | 0 | 1
Round 1,12.03.2025,Ghazl El Mahallah,ZED,12.03.2025 | Ghazl El Mahallah | ZED | 0 | 3
Round 1,12.03.2025,Pharco,National Bank Egypt,12.03.2025 | Pharco | National Bank Egypt | 2 | 1
Round 1,12.03.2025,Pyramids,Al Masry,12.03.2025 | Pyramids | Al Masry | 0 | 0
Round 1,11.03.2025,Haras El Hodood,Petrojet,11.03.2025 | Haras El Hodood | Petrojet | 1 | 2
Round 1,11.03.2025,Awrd,Zamalek,11.03.2025 | Awrd | Zamalek | Al Ahly | 3 | 0
Round 1,11.03.2025,El Gouna,Al Ittihad,11.03.2025 | El Gouna | Al Ittihad | 2 | 0
Round 1,11.03.2025,Modern Sport,Smouha,11.03.2025 | Modern Sport | Smouha | 2 | 0
Round 17,05.03.2025,Al Ahly,El Gaish,05.03.2025 | Al Ahly | El Gaish | 2 | 0
Round 17,05.03.2025,Petrojet,Ghazl El Mahallah,05.03.2025 | Petrojet | Ghazl El Mahallah | 2 | 1
Round 17,05.03.2025,Pyramids,Ceramica Cleopatra,05.03.2025 | Pyramids | Ceramica Cleopatra | 2 | 1
Round 17,04.03.2025,Al Ittihad,Smouha,04.03.2025 | Al Ittihad | Smouha | 0 | 1
Round 17,04.03.2025,Enppi,Zamalek,04.03.2025 | Enppi | Zamalek | 0 | 3
Round 17,04.03.2025,ZED,El Ismaily,04.03.2025 | ZED | El Ismaily | 2 | 2
Round 17,03.03.2025,Al Masry,Modern Sport,03.03.2025 | Al Masry | Modern Sport | 4 | 2
Round 17,03.03.2025,National Bank Egypt,Haras El Hodood,03.03.2025 | National Bank Egypt | Haras El Hodood | 2 | 1
Round 17,03.03.2025,Pharco,El Gouna,03.03.2025 | Pharco | El Gouna | 0 | 0
Round 16,28.02.2025,Al Ittihad,Pyramids,28.02.2025 | Al Ittihad | Pyramids | 1 | 3
Round 16,28.02.2025,Ceramica Cleopatra,Petrojet,28.02.2025 | Ceramica Cleopatra | Petrojet | 4 | 1
Round 16,28.02.2025,Ghazl El Mahallah,Enppi,28.02.2025 | Ghazl El Mahallah | Enppi | 3 | 0
Round 16,27.02.2025,Zamalek,ZED,27.02.2025 | Zamalek | ZED | 1 | 1
