round,date,team_home,team_away,full_text
Round 13,23.11.2024,Dundee FC,Hibernian,23.11.2024 | Dundee FC | Hibernian | 4 | 1
Round 13,23.11.2024,St. Mirren,Aberdeen,23.11.2024 | St. Mirren | Aberdeen | 2 | 1
Round 13,23.11.2024,Rangers,Dundee Utd,23.11.2024 | Rangers | Dundee Utd | 1 | 1
Round 13,23.11.2024,Ross County,Motherwell,23.11.2024 | Ross County | Motherwell | 2 | 1
Round 13,23.11.2024,St Johnstone,Kilmarnock,23.11.2024 | St Johnstone | Kilmarnock | 1 | 0
Round 12,10.11.2024,Rangers,Hearts,10.11.2024 | Rangers | Hearts | 1 | 0
Round 12,10.11.2024,Kilmarnock,Celtic,10.11.2024 | Kilmarnock | Celtic | 0 | 2
Round 12,09.11.2024,Aberdeen,Dundee FC,09.11.2024 | Aberdeen | Dundee FC | 4 | 1
Round 12,09.11.2024,Dundee Utd,Ross County,09.11.2024 | Dundee Utd | Ross County | 3 | 0
Round 12,09.11.2024,Hibernian,St. Mirren,09.11.2024 | Hibernian | St. Mirren | 1 | 2
Round 12,09.11.2024,Motherwell,St Johnstone,09.11.2024 | Motherwell | St Johnstone | 2 | 1
Round 23,03.11.2024,Dundee FC,Kilmarnock,03.11.2024 | Dundee FC | Kilmarnock | 3 | 2
Round 15,03.11.2024,Hibernian,Dundee Utd,03.11.2024 | Hibernian | Dundee Utd | 1 | 1
Round 11,02.11.2024,St Johnstone,Hearts,02.11.2024 | St Johnstone | Hearts | 1 | 2
Round 11,02.11.2024,St. Mirren,Ross County,02.11.2024 | St. Mirren | Ross County | 0 | 0
Round 10,30.10.2024,Aberdeen,Rangers,30.10.2024 | Aberdeen | Rangers | 2 | 1
Round 10,30.10.2024,Celtic,Dundee FC,30.10.2024 | Celtic | Dundee FC | 2 | 0
Round 10,30.10.2024,Dundee Utd,Motherwell,30.10.2024 | Dundee Utd | Motherwell | 1 | 2
Round 10,30.10.2024,Hearts,Kilmarnock,30.10.2024 | Hearts | Kilmarnock | 1 | 2
Round 10,30.10.2024,Ross County,Hibernian,30.10.2024 | Ross County | Hibernian | 0 | 0
Round 10,30.10.2024,St. Mirren,St Johnstone,30.10.2024 | St. Mirren | St Johnstone | 3 | 1
Round 9,27.10.2024,Motherwell,Celtic,27.10.2024 | Motherwell | Celtic | 0 | 3
Round 9,27.10.2024,Rangers,St. Mirren,27.10.2024 | Rangers | St. Mirren | 2 | 1
Round 9,27.10.2024,Hibernian,Hearts,27.10.2024 | Hibernian | Hearts | 1 | 1
Round 9,26.10.2024,Aberdeen,Dundee Utd,26.10.2024 | Aberdeen | Dundee Utd | 1 | 0
Round 9,26.10.2024,Dundee FC,St Johnstone,26.10.2024 | Dundee FC | St Johnstone | 1 | 2
Round 9,26.10.2024,Ross County,Kilmarnock,26.10.2024 | Ross County | Kilmarnock | 2 | 1
Round 8,20.10.2024,Kilmarnock,Rangers,20.10.2024 | Kilmarnock | Rangers | 1 | 0
Round 8,19.10.2024,Celtic,Aberdeen,19.10.2024 | Celtic | Aberdeen | 2 | 2
Round 8,19.10.2024,Dundee Utd,Hibernian,19.10.2024 | Dundee Utd | Hibernian | 3 | 2
Round 8,19.10.2024,Hearts,St. Mirren,19.10.2024 | Hearts | St. Mirren | 4 | 0
Round 8,19.10.2024,Motherwell,Dundee FC,19.10.2024 | Motherwell | Dundee FC | 0 | 1
Round 8,19.10.2024,St Johnstone,Ross County,19.10.2024 | St Johnstone | Ross County | 2 | 3 | 0
Round 7,06.10.2024,Rangers,St Johnstone,06.10.2024 | Rangers | St Johnstone | 2 | 0
Round 7,06.10.2024,Aberdeen,Hearts,06.10.2024 | Aberdeen | Hearts | 3 | 2
Round 7,06.10.2024,Ross County,Celtic,06.10.2024 | Ross County | Celtic | 1 | 2
Round 7,05.10.2024,Dundee FC,Kilmarnock,05.10.2024 | Dundee FC | Kilmarnock | 2 | 3
Round 7,05.10.2024,Hibernian,Motherwell,05.10.2024 | Hibernian | Motherwell | 1 | 2
