round,date,team_home,team_away,full_text
Round 23,30.03.2025,BW Linz,Austria Vienna,30.03.2025 | BW Linz | Austria Vienna | 0 | 2
Round 23,30.03.2025,Wolfsberger AC,Sturm Graz,30.03.2025 | Wolfsberger AC | Sturm Graz | 1 | 1
Round 23,29.03.2025,Grazer AK,Tirol,29.03.2025 | Grazer AK | Tirol | 0 | 0
Round 23,29.03.2025,Hartberg,A. Klagenfurt,29.03.2025 | Hartberg | A. Klagenfurt | 2 | 3
Round 23,28.03.2025,Altach,LASK,28.03.2025 | Altach | LASK | 0 | 2
Round 22,16.03.2025,A. Klagenfurt,Altach,16.03.2025 | A. Klagenfurt | Altach | 2 | 2
Round 22,16.03.2025,BW Linz,Hartberg,16.03.2025 | BW Linz | Hartberg | 4 | 1
Round 22,16.03.2025,Salzburg,Wolfsberger AC,16.03.2025 | Salzburg | Wolfsberger AC | 1 | 0
Round 22,16.03.2025,SK Rapid,Grazer AK,16.03.2025 | SK Rapid | Grazer AK | 3 | 0
Round 22,16.03.2025,Sturm Graz,LASK,16.03.2025 | Sturm Graz | LASK | 4 | 2
Round 22,16.03.2025,Tirol,Austria Vienna,16.03.2025 | Tirol | Austria Vienna | 0 | 2
Round 21,09.03.2025,Hartberg,SK Rapid,09.03.2025 | Hartberg | SK Rapid | 2 | 1
Round 21,09.03.2025,Grazer AK,Sturm Graz,09.03.2025 | Grazer AK | Sturm Graz | 1 | 2
Round 21,09.03.2025,Altach,Salzburg,09.03.2025 | Altach | Salzburg | 1 | 1
Round 21,09.03.2025,Austria Vienna,A. Klagenfurt,09.03.2025 | Austria Vienna | A. Klagenfurt | 2 | 0
Round 21,09.03.2025,LASK,Tirol,09.03.2025 | LASK | Tirol | 2 | 1
Round 21,09.03.2025,Wolfsberger AC,BW Linz,09.03.2025 | Wolfsberger AC | BW Linz | 1 | 2
Round 20,02.03.2025,Salzburg,Sturm Graz,02.03.2025 | Salzburg | Sturm Graz | 3 | 1
Round 20,02.03.2025,A. Klagenfurt,LASK,02.03.2025 | A. Klagenfurt | LASK | 1 | 2
