round,date,team_home,team_away,full_text
Round 10,03.11.2024,Bayelsa United,Enyimba,03.11.2024 | Bayelsa United | Enyimba | 1 | 1
Round 10,03.11.2024,Ikorodu City,Rivers United,03.11.2024 | Ikorodu City | Rivers United | 2 | 0
Round 10,03.11.2024,Kano Pillars,Plateau United,03.11.2024 | Kano Pillars | Plateau United | 2 | 1
Round 10,03.11.2024,Niger Tornadoes,Shooting,03.11.2024 | Niger Tornadoes | Shooting | 2 | 0
Round 10,03.11.2024,Rangers Int'l,Nasarawa,03.11.2024 | Rangers Int'l | Nasarawa | 2 | 0
Round 10,03.11.2024,Remo Stars,Lobi Stars,03.11.2024 | Remo Stars | Lobi Stars | 1 | 0
Round 10,03.11.2024,Sunshine Stars,Bendel,03.11.2024 | Sunshine Stars | Bendel | 1 | 2
Round 10,03.11.2024,El Kanemi,Katsina Utd,03.11.2024 | El Kanemi | Katsina Utd | 1 | 0
Round 9,28.10.2024,Kwara,Rangers Int'l,28.10.2024 | Kwara | Rangers Int'l | 1 | 1
Round 9,28.10.2024,Lobi Stars,Bayelsa United,28.10.2024 | Lobi Stars | Bayelsa United | 2 | 1
Round 9,27.10.2024,Enyimba,Ikorodu City,27.10.2024 | Enyimba | Ikorodu City | 2 | 1
Round 9,27.10.2024,Heartland,Remo Stars,27.10.2024 | Heartland | Remo Stars | 1 | 0
Round 9,27.10.2024,Nasarawa,Kano Pillars,27.10.2024 | Nasarawa | Kano Pillars | 1 | 0
Round 9,27.10.2024,Plateau United,Sunshine Stars,27.10.2024 | Plateau United | Sunshine Stars | 3 | 0
Round 9,27.10.2024,Rivers United,El Kanemi,27.10.2024 | Rivers United | El Kanemi | 1 | 1
Round 9,27.10.2024,Shooting,Akwa United,27.10.2024 | Shooting | Akwa United | 2 | 1
Round 9,26.10.2024,Bendel,Abia Warriors,26.10.2024 | Bendel | Abia Warriors | 0 | 1
Round 9,26.10.2024,Katsina Utd,Niger Tornadoes,26.10.2024 | Katsina Utd | Niger Tornadoes | 1 | 1
Round 2,23.10.2024,El Kanemi,Kwara,23.10.2024 | El Kanemi | Kwara | 1 | 1
Round 8,21.10.2024,Akwa United,Rangers Int'l,21.10.2024 | Akwa United | Rangers Int'l | 0 | 0
Round 8,21.10.2024,Shooting,Katsina Utd,21.10.2024 | Shooting | Katsina Utd | 1 | 0
Round 8,21.10.2024,Niger Tornadoes,Rivers United,21.10.2024 | Niger Tornadoes | Rivers United | 0 | 1
Round 8,21.10.2024,Ikorodu City,Lobi Stars,21.10.2024 | Ikorodu City | Lobi Stars | 4 | 2
Round 8,20.10.2024,Remo Stars,Bendel,20.10.2024 | Remo Stars | Bendel | 1 | 0
Round 8,20.10.2024,Abia Warriors,Plateau United,20.10.2024 | Abia Warriors | Plateau United | 3 | 1
Round 8,20.10.2024,Kano Pillars,Kwara,20.10.2024 | Kano Pillars | Kwara | 1 | 1
Round 8,20.10.2024,Sunshine Stars,Nasarawa,20.10.2024 | Sunshine Stars | Nasarawa | 1 | 0
Round 8,20.10.2024,Bayelsa United,Heartland,20.10.2024 | Bayelsa United | Heartland | 1 | 0
Round 8,20.10.2024,El Kanemi,Enyimba,20.10.2024 | El Kanemi | Enyimba | 1 | 0
Round 7,17.10.2024,Heartland,Ikorodu City,17.10.2024 | Heartland | Ikorodu City | 1 | 1
Round 7,17.10.2024,Katsina Utd,Akwa United,17.10.2024 | Katsina Utd | Akwa United | 1 | 0
Round 7,17.10.2024,Plateau United,Remo Stars,17.10.2024 | Plateau United | Remo Stars | 3 | 1
Round 7,17.10.2024,Rivers United,Shooting,17.10.2024 | Rivers United | Shooting | 2 | 0
Round 7,17.10.2024,Bendel,Bayelsa United,17.10.2024 | Bendel | Bayelsa United | 3 | 0
Round 7,16.10.2024,Enyimba,Niger Tornadoes,16.10.2024 | Enyimba | Niger Tornadoes | 1 | 1
Round 7,16.10.2024,Kwara,Sunshine Stars,16.10.2024 | Kwara | Sunshine Stars | 3 | 0
Round 7,16.10.2024,Nasarawa,Abia Warriors,16.10.2024 | Nasarawa | Abia Warriors | 3 | 0
Round 7,16.10.2024,Rangers Int'l,Kano Pillars,16.10.2024 | Rangers Int'l | Kano Pillars | 3 | 4
Round 7,16.10.2024,Lobi Stars,El Kanemi,16.10.2024 | Lobi Stars | El Kanemi | 2 | 2
Round 6,13.10.2024,Shooting,Enyimba,13.10.2024 | Shooting | Enyimba | 0 | 0
Round 6,13.10.2024,Akwa United,Kano Pillars,13.10.2024 | Akwa United | Kano Pillars | 2 | 0
Round 6,13.10.2024,Katsina Utd,Rivers United,13.10.2024 | Katsina Utd | Rivers United | 0 | 0
Round 6,13.10.2024,Niger Tornadoes,Lobi Stars,13.10.2024 | Niger Tornadoes | Lobi Stars | 1 | 1
Round 6,13.10.2024,Remo Stars,Nasarawa,13.10.2024 | Remo Stars | Nasarawa | 3 | 0
Round 6,13.10.2024,Bayelsa United,Plateau United,13.10.2024 | Bayelsa United | Plateau United | 1 | 0
Round 6,13.10.2024,El Kanemi,Heartland,13.10.2024 | El Kanemi | Heartland | 0 | 0
Round 6,13.10.2024,Abia Warriors,Kwara,13.10.2024 | Abia Warriors | Kwara | 1 | 0
Round 6,12.10.2024,Ikorodu City,Bendel,12.10.2024 | Ikorodu City | Bendel | 3 | 0
Round 6,12.10.2024,Sunshine Stars,Rangers Int'l,12.10.2024 | Sunshine Stars | Rangers Int'l | 1 | 0
Round 5,07.10.2024,Enyimba,Katsina Utd,07.10.2024 | Enyimba | Katsina Utd | 3 | 0
Round 5,06.10.2024,Heartland,Niger Tornadoes,06.10.2024 | Heartland | Niger Tornadoes | 2 | 0
Round 5,06.10.2024,Kano Pillars,Sunshine Stars,06.10.2024 | Kano Pillars | Sunshine Stars | 2 | 0
Round 5,06.10.2024,Kwara,Remo Stars,06.10.2024 | Kwara | Remo Stars | 1 | 0
Round 5,06.10.2024,Plateau United,Ikorodu City,06.10.2024 | Plateau United | Ikorodu City | 1 | 0
Round 5,06.10.2024,Rangers Int'l,Abia Warriors,06.10.2024 | Rangers Int'l | Abia Warriors | 1 | 0
Round 5,06.10.2024,Rivers United,Akwa United,06.10.2024 | Rivers United | Akwa United | 2 | 1
Round 5,06.10.2024,Nasarawa,Bayelsa United,06.10.2024 | Nasarawa | Bayelsa United | 0 | 0
Round 5,05.10.2024,Bendel,El Kanemi,05.10.2024 | Bendel | El Kanemi | 1 | 1
Round 5,05.10.2024,Lobi Stars,Shooting,05.10.2024 | Lobi Stars | Shooting | 1 | 0
Round 3,03.10.2024,Rangers Int'l,Bayelsa United,03.10.2024 | Rangers Int'l | Bayelsa United | 1 | 0
Round 3,02.10.2024,Bendel,Shooting,02.10.2024 | Bendel | Shooting | 1 | 0
Round 3,02.10.2024,Enyimba,Akwa United,02.10.2024 | Enyimba | Akwa United | 1 | 0
Round 4,29.09.2024,Remo Stars,Rangers Int'l,29.09.2024 | Remo Stars | Rangers Int'l | 2 | 1
Round 4,29.09.2024,Shooting,Heartland,29.09.2024 | Shooting | Heartland | 1 | 0
Round 4,29.09.2024,Abia Warriors,Kano Pillars,29.09.2024 | Abia Warriors | Kano Pillars | 2 | 0
Round 4,29.09.2024,Bayelsa United,Kwara,29.09.2024 | Bayelsa United | Kwara | 1 | 1
Round 4,29.09.2024,Katsina Utd,Lobi Stars,29.09.2024 | Katsina Utd | Lobi Stars | 3 | 0
Round 4,29.09.2024,El Kanemi,Plateau United,29.09.2024 | El Kanemi | Plateau United | 2 | 2
Round 4,29.09.2024,Niger Tornadoes,Bendel,29.09.2024 | Niger Tornadoes | Bendel | 1 | 1
Round 4,29.09.2024,Rivers United,Enyimba,29.09.2024 | Rivers United | Enyimba | 2 | 0
Round 4,28.09.2024,Akwa United,Sunshine Stars,28.09.2024 | Akwa United | Sunshine Stars | 1 | 2
Round 4,28.09.2024,Ikorodu City,Nasarawa,28.09.2024 | Ikorodu City | Nasarawa | 1 | 2
Round 2,25.09.2024,Enyimba,Lobi Stars,25.09.2024 | Enyimba | Lobi Stars | 2 | 1
Round 2,25.09.2024,Ikorodu City,Rangers Int'l,25.09.2024 | Ikorodu City | Rangers Int'l | 0 | 1
Round 3,22.09.2024,Kwara,Ikorodu City,22.09.2024 | Kwara | Ikorodu City | 0 | 0
Round 3,22.09.2024,Heartland,Katsina Utd,22.09.2024 | Heartland | Katsina Utd | 0 | 0
Round 3,22.09.2024,Kano Pillars,Remo Stars,22.09.2024 | Kano Pillars | Remo Stars | 0 | 2
Round 3,22.09.2024,Sunshine Stars,Abia Warriors,22.09.2024 | Sunshine Stars | Abia Warriors | 0 | 0
Round 3,22.09.2024,Plateau United,Niger Tornadoes,22.09.2024 | Plateau United | Niger Tornadoes | 1 | 2
Round 3,21.09.2024,Nasarawa,El Kanemi,21.09.2024 | Nasarawa | El Kanemi | 3 | 4
Round 3,21.09.2024,Lobi Stars,Rivers United,21.09.2024 | Lobi Stars | Rivers United | 0 | 1
Round 2,15.09.2024,Shooting,Plateau United,15.09.2024 | Shooting | Plateau United | 1 | 1
Round 2,15.09.2024,Bayelsa United,Kano Pillars,15.09.2024 | Bayelsa United | Kano Pillars | 1 | 1
Round 2,15.09.2024,Katsina Utd,Bendel,15.09.2024 | Katsina Utd | Bendel | 2 | 1
Round 2,15.09.2024,Niger Tornadoes,Nasarawa,15.09.2024 | Niger Tornadoes | Nasarawa | 0 | 0
Round 2,15.09.2024,Akwa United,Abia Warriors,15.09.2024 | Akwa United | Abia Warriors | 1 | 1
Round 2,14.09.2024,Remo Stars,Sunshine Stars,14.09.2024 | Remo Stars | Sunshine Stars | 1 | 0
Round 2,14.09.2024,Rivers United,Heartland,14.09.2024 | Rivers United | Heartland | 3 | 1
Round 1,09.09.2024,Lobi Stars,Akwa United,09.09.2024 | Lobi Stars | Akwa United | 0 | 0
Round 1,08.09.2024,Abia Warriors,Remo Stars,08.09.2024 | Abia Warriors | Remo Stars | 0 | 2
Round 1,08.09.2024,Bendel,Rivers United,08.09.2024 | Bendel | Rivers United | 0 | 0
Round 1,08.09.2024,Heartland,Enyimba,08.09.2024 | Heartland | Enyimba | 1 | 3
Round 1,08.09.2024,Kano Pillars,Ikorodu City,08.09.2024 | Kano Pillars | Ikorodu City | 3 | 0
Round 1,08.09.2024,Kwara,Niger Tornadoes,08.09.2024 | Kwara | Niger Tornadoes | 1 | 2
Round 1,08.09.2024,Nasarawa,Shooting,08.09.2024 | Nasarawa | Shooting | 1 | 1
Round 1,08.09.2024,Plateau United,Katsina Utd,08.09.2024 | Plateau United | Katsina Utd | 1 | 0
Round 1,08.09.2024,Sunshine Stars,Bayelsa United,08.09.2024 | Sunshine Stars | Bayelsa United | 3 | 0
Round 1,31.08.2024,Rangers Int'l,El Kanemi,31.08.2024 | Rangers Int'l | El Kanemi | 0 | 0
