round,date,team_home,team_away,full_text
Round 30,22.03.2025,Bendel,Sunshine Stars,22.03.2025 | Bendel | Sunshine Stars | 1 | 0
Round 30,22.03.2025,Plateau United,Kano Pillars,22.03.2025 | Plateau United | Kano Pillars | 2 | 1
Round 30,21.03.2025,Nasarawa,Rangers Int'l,21.03.2025 | Nasarawa | Rangers Int'l | 1 | 0
Round 29,17.03.2025,Sunshine Stars,Plateau United,17.03.2025 | Sunshine Stars | Plateau United | 2 | 2
Round 29,16.03.2025,Ikorodu City,Enyimba,16.03.2025 | Ikorodu City | Enyimba | 2 | 2
Round 29,16.03.2025,Remo Stars,Heartland,16.03.2025 | Remo Stars | Heartland | 2 | 0
Round 29,16.03.2025,Abia Warriors,Bendel,16.03.2025 | Abia Warriors | Bendel | 1 | 0
Round 29,16.03.2025,Akwa United,Shooting,16.03.2025 | Akwa United | Shooting | 2 | 0
Round 29,16.03.2025,Bayelsa United,Lobi Stars,16.03.2025 | Bayelsa United | Lobi Stars | 1 | 0
Round 29,16.03.2025,El Kanemi,Rivers United,16.03.2025 | El Kanemi | Rivers United | 1 | 2
Round 29,16.03.2025,Kano Pillars,Nasarawa,16.03.2025 | Kano Pillars | Nasarawa | 1 | 1
Round 29,15.03.2025,Rangers Int'l,Kwara,15.03.2025 | Rangers Int'l | Kwara | 3 | 0
Round 29,14.03.2025,Niger Tornadoes,Katsina Utd,14.03.2025 | Niger Tornadoes | Katsina Utd | 1 | 0
Round 28,09.03.2025,Heartland,Bayelsa United,09.03.2025 | Heartland | Bayelsa United | 1 | 1
Round 28,09.03.2025,Enyimba,El Kanemi,09.03.2025 | Enyimba | El Kanemi | 1 | 0
Round 28,09.03.2025,Kwara,Kano Pillars,09.03.2025 | Kwara | Kano Pillars | 2 | 0
Round 28,09.03.2025,Nasarawa,Sunshine Stars,09.03.2025 | Nasarawa | Sunshine Stars | 1 | 1
Round 28,09.03.2025,Rangers Int'l,Akwa United,09.03.2025 | Rangers Int'l | Akwa United | 1 | 1
Round 28,09.03.2025,Plateau United,Abia Warriors,09.03.2025 | Plateau United | Abia Warriors | 1 | 0
Round 28,08.03.2025,Bendel,Remo Stars,08.03.2025 | Bendel | Remo Stars | 2 | 1
Round 28,08.03.2025,Lobi Stars,Ikorodu City,08.03.2025 | Lobi Stars | Ikorodu City | 0 | 1
Round 28,08.03.2025,Rivers United,Niger Tornadoes,08.03.2025 | Rivers United | Niger Tornadoes | 1 | 0
Round 28,07.03.2025,Katsina Utd,Shooting,07.03.2025 | Katsina Utd | Shooting | 1 | 0
Round 27,03.03.2025,Shooting,Rivers United,03.03.2025 | Shooting | Rivers United | 0 | 0
