round,date,team_home,team_away,full_text
Round 26,09.03.2025,Pafos,Achnas,09.03.2025 | Pafos | Achnas | 0 | 0
Round 26,09.03.2025,Paralimni,Aris,09.03.2025 | Paralimni | Aris | 1 | 2
Round 26,08.03.2025,APOEL,Omonia,08.03.2025 | APOEL | Omonia | 2 | 1
Round 26,08.03.2025,Apollon,Nea Salamis,08.03.2025 | Apollon | Nea Salamis | 1 | 1
Round 26,08.03.2025,Omonia 29th May,Anorthosis,08.03.2025 | Omonia 29th May | Anorthosis | 0 | 0
Round 26,07.03.2025,Karmiotissa,AEL Limassol,07.03.2025 | Karmiotissa | AEL Limassol | 2 | 1
Round 25,02.03.2025,AEK Larnaca,Omonia 29th May,02.03.2025 | AEK Larnaca | Omonia 29th May | 2 | 0
Round 25,01.03.2025,Omonia,Pafos,01.03.2025 | Omonia | Pafos | 2 | 1
Round 25,01.03.2025,Aris,APOEL,01.03.2025 | Aris | APOEL | 3 | 0
Round 25,01.03.2025,Nea Salamis,Omonia Aradippou,01.03.2025 | Nea Salamis | Omonia Aradippou | 2 | 3
Round 25,28.02.2025,AEL Limassol,Paralimni,28.02.2025 | AEL Limassol | Paralimni | 2 | 1
Round 25,28.02.2025,Anorthosis,Karmiotissa,28.02.2025 | Anorthosis | Karmiotissa | 1 | 2
Round 25,28.02.2025,Achnas,Apollon,28.02.2025 | Achnas | Apollon | 0 | 1
Round 24,24.02.2025,APOEL,Pafos,24.02.2025 | APOEL | Pafos | 0 | 2
Round 24,24.02.2025,Apollon,Omonia,24.02.2025 | Apollon | Omonia | 1 | 1
Round 24,24.02.2025,Paralimni,Anorthosis,24.02.2025 | Paralimni | Anorthosis | 2 | 2
Round 24,23.02.2025,Aris,AEL Limassol,23.02.2025 | Aris | AEL Limassol | 4 | 0
Round 24,23.02.2025,Omonia Aradippou,Achnas,23.02.2025 | Omonia Aradippou | Achnas | 2 | 2
Round 24,22.02.2025,Omonia 29th May,Nea Salamis,22.02.2025 | Omonia 29th May | Nea Salamis | 2 | 1
Round 24,22.02.2025,Karmiotissa,AEK Larnaca,22.02.2025 | Karmiotissa | AEK Larnaca | 0 | 3
Round 23,16.02.2025,AEL Limassol,APOEL,16.02.2025 | AEL Limassol | APOEL | 1 | 2
Round 23,16.02.2025,Omonia,Omonia Aradippou,16.02.2025 | Omonia | Omonia Aradippou | 3 | 1
Round 23,16.02.2025,Pafos,Apollon,16.02.2025 | Pafos | Apollon | 1 | 0
Round 23,15.02.2025,Anorthosis,Aris,15.02.2025 | Anorthosis | Aris | 0 | 3
Round 23,15.02.2025,Achnas,Omonia 29th May,15.02.2025 | Achnas | Omonia 29th May | 1 | 0
Round 23,14.02.2025,AEK Larnaca,Paralimni,14.02.2025 | AEK Larnaca | Paralimni | 4 | 1
Round 23,14.02.2025,Nea Salamis,Karmiotissa,14.02.2025 | Nea Salamis | Karmiotissa | 2 | 1
Round 22,09.02.2025,Aris,AEK Larnaca,09.02.2025 | Aris | AEK Larnaca | 1 | 1
Round 22,09.02.2025,Paralimni,Nea Salamis,09.02.2025 | Paralimni | Nea Salamis | 2 | 0
Round 22,09.02.2025,Karmiotissa,Achnas,09.02.2025 | Karmiotissa | Achnas | 0 | 0
