round,date,team_home,team_away,full_text
Round 23,10.05.2025,Jamono Fatick,Teungueth,10.05.2025 | Jamono Fatick | Teungueth | 0 | 0
Round 23,10.05.2025,Oslo Football Academy,Guediawaye,10.05.2025 | Oslo Football Academy | Guediawaye | 0 | 1
Round 23,10.05.2025,US Goree,Generation F.,10.05.2025 | US Goree | Generation F. | 2 | 1
Round 23,10.05.2025,Wally Daan,Casa,10.05.2025 | Wally Daan | Casa | 0 | 1
Round 22,05.05.2025,Linguere,Ouakam,05.05.2025 | Linguere | Ouakam | 1 | 1
Round 22,04.05.2025,Casa,Oslo Football Academy,04.05.2025 | Casa | Oslo Football Academy | 0 | 0
Round 22,04.05.2025,AJEL,Guediawaye,04.05.2025 | AJEL | Guediawaye | 1 | 1
Round 22,04.05.2025,Jaraaf,Jamono Fatick,04.05.2025 | Jaraaf | Jamono Fatick | 1 | 1
Round 22,03.05.2025,Generation F.,ASC HLM,03.05.2025 | Generation F. | ASC HLM | 1 | 3
Round 22,03.05.2025,Pikine,US Goree,03.05.2025 | Pikine | US Goree | 0 | 0
Round 22,03.05.2025,Teungueth,Wally Daan,03.05.2025 | Teungueth | Wally Daan | 1 | 0
Round 22,02.05.2025,Dakar SC,Sonacos,02.05.2025 | Dakar SC | Sonacos | 0 | 2
Round 21,28.04.2025,AJEL,Casa,28.04.2025 | AJEL | Casa | 1 | 0
Round 21,28.04.2025,Jamono Fatick,Pikine,28.04.2025 | Jamono Fatick | Pikine | 0 | 2
Round 21,27.04.2025,Oslo Football Academy,Teungueth,27.04.2025 | Oslo Football Academy | Teungueth | 0 | 0
Round 21,27.04.2025,Ouakam,Dakar SC,27.04.2025 | Ouakam | Dakar SC | 0 | 1
Round 21,27.04.2025,Wally Daan,Jaraaf,27.04.2025 | Wally Daan | Jaraaf | 1 | 0
Round 21,26.04.2025,Guediawaye,Linguere,26.04.2025 | Guediawaye | Linguere | 1 | 2
Round 21,26.04.2025,Sonacos,Generation F.,26.04.2025 | Sonacos | Generation F. | 0 | 1
Round 21,26.04.2025,US Goree,ASC HLM,26.04.2025 | US Goree | ASC HLM | 1 | 0
Round 20,24.04.2025,Jaraaf,Oslo Football Academy,24.04.2025 | Jaraaf | Oslo Football Academy | 2 | 0
Round 20,24.04.2025,Pikine,Wally Daan,24.04.2025 | Pikine | Wally Daan | 1 | 0
Round 20,23.04.2025,ASC HLM,Sonacos,23.04.2025 | ASC HLM | Sonacos | 0 | 0
Round 20,23.04.2025,Dakar SC,Guediawaye,23.04.2025 | Dakar SC | Guediawaye | 1 | 1
Round 20,23.04.2025,Generation F.,Ouakam,23.04.2025 | Generation F. | Ouakam | 0 | 2
Round 20,23.04.2025,Jamono Fatick,US Goree,23.04.2025 | Jamono Fatick | US Goree | 1 | 0
Round 20,23.04.2025,Linguere,Casa,23.04.2025 | Linguere | Casa | 4 | 3
Round 20,23.04.2025,Teungueth,AJEL,23.04.2025 | Teungueth | AJEL | 2 | 0
Round 19,14.04.2025,Guediawaye,Generation F.,14.04.2025 | Guediawaye | Generation F. | 0 | 3
Round 19,13.04.2025,Casa,Dakar SC,13.04.2025 | Casa | Dakar SC | 0 | 1
Round 19,13.04.2025,Wally Daan,Jamono Fatick,13.04.2025 | Wally Daan | Jamono Fatick | 1 | 0
Round 19,13.04.2025,Linguere,Teungueth,13.04.2025 | Linguere | Teungueth | 1 | 0
Round 19,12.04.2025,AJEL,Jaraaf,12.04.2025 | AJEL | Jaraaf | 0 | 1
Round 19,12.04.2025,Oslo Football Academy,Pikine,12.04.2025 | Oslo Football Academy | Pikine | 1 | 3
Round 19,12.04.2025,US Goree,Sonacos,12.04.2025 | US Goree | Sonacos | 0 | 0
Round 19,11.04.2025,Ouakam,ASC HLM,11.04.2025 | Ouakam | ASC HLM | 1 | 0
Round 18,17.03.2025,ASC HLM,Guediawaye,17.03.2025 | ASC HLM | Guediawaye | 0 | 0
Round 18,17.03.2025,Jamono Fatick,Oslo Football Academy,17.03.2025 | Jamono Fatick | Oslo Football Academy | 3 | 2
Round 18,16.03.2025,Generation F.,Casa,16.03.2025 | Generation F. | Casa | 0 | 0
Round 18,16.03.2025,Jaraaf,Linguere,16.03.2025 | Jaraaf | Linguere | 1 | 0
Round 18,16.03.2025,Pikine,AJEL,16.03.2025 | Pikine | AJEL | 0 | 1
Round 18,16.03.2025,Sonacos,Ouakam,16.03.2025 | Sonacos | Ouakam | 0 | 3
Round 18,15.03.2025,Wally Daan,US Goree,15.03.2025 | Wally Daan | US Goree | 0 | 0
Round 18,15.03.2025,Dakar SC,Teungueth,15.03.2025 | Dakar SC | Teungueth | 0 | 0
Round 17,09.03.2025,AJEL,Jamono Fatick,09.03.2025 | AJEL | Jamono Fatick | 3 | 0
Round 17,09.03.2025,Casa,ASC HLM,09.03.2025 | Casa | ASC HLM | 2 | 0
Round 17,09.03.2025,Linguere,Pikine,09.03.2025 | Linguere | Pikine | 0 | 0
Round 17,08.03.2025,US Goree,Ouakam,08.03.2025 | US Goree | Ouakam | 1 | 0
Round 17,08.03.2025,Dakar SC,Jaraaf,08.03.2025 | Dakar SC | Jaraaf | 0 | 2
Round 17,08.03.2025,Teungueth,Generation F.,08.03.2025 | Teungueth | Generation F. | 1 | 2
Round 17,07.03.2025,Guediawaye,Sonacos,07.03.2025 | Guediawaye | Sonacos | 1 | 0
