round,date,team_home,team_away,full_text
23,11.01.2025,Hibernian,Motherwell,11.01.2025 | Hibernian | Motherwell | 3 | 1
23,11.01.2025,St. Mirren,Dundee Utd,11.01.2025 | St. Mirren | Dundee Utd | 0 | 1
23,11.01.2025,Ross County,Celtic,11.01.2025 | Ross County | Celtic | 1 | 4
11,09.01.2025,Dundee FC,Rangers,09.01.2025 | Dundee FC | Rangers | 1 | 1
11,08.01.2025,Celtic,Dundee Utd,08.01.2025 | Celtic | Dundee Utd | 2 | 0
11,08.01.2025,Kilmarnock,Motherwell,08.01.2025 | Kilmarnock | Motherwell | 0 | 0
22,05.01.2025,Celtic,St. Mirren,05.01.2025 | Celtic | St. Mirren | 3 | 0
22,05.01.2025,Dundee Utd,Hearts,05.01.2025 | Dundee Utd | Hearts | 0 | 1
22,05.01.2025,Kilmarnock,Ross County,05.01.2025 | Kilmarnock | Ross County | 0 | 1
22,05.01.2025,St Johnstone,Dundee FC,05.01.2025 | St Johnstone | Dundee FC | 1 | 3
22,05.01.2025,Motherwell,Aberdeen,05.01.2025 | Motherwell | Aberdeen | 2 | 0
22,05.01.2025,Hibernian,Rangers,05.01.2025 | Hibernian | Rangers | 3 | 3
21,02.01.2025,Dundee FC,Dundee Utd,02.01.2025 | Dundee FC | Dundee Utd | 1 | 2
21,02.01.2025,Aberdeen,Ross County,02.01.2025 | Aberdeen | Ross County | 1 | 2
21,02.01.2025,Hearts,Motherwell,02.01.2025 | Hearts | Motherwell | 1 | 0
21,02.01.2025,Kilmarnock,St. Mirren,02.01.2025 | Kilmarnock | St. Mirren | 2 | 0
21,02.01.2025,Rangers,Celtic,02.01.2025 | Rangers | Celtic | 3 | 0
21,02.01.2025,St Johnstone,Hibernian,02.01.2025 | St Johnstone | Hibernian | 1 | 1
20,29.12.2024,Dundee Utd,Aberdeen,29.12.2024 | Dundee Utd | Aberdeen | 1 | 0
20,29.12.2024,Celtic,St Johnstone,29.12.2024 | Celtic | St Johnstone | 4 | 0
20,29.12.2024,Hibernian,Kilmarnock,29.12.2024 | Hibernian | Kilmarnock | 1 | 0
20,29.12.2024,Motherwell,Rangers,29.12.2024 | Motherwell | Rangers | 2 | 2
20,29.12.2024,Ross County,Hearts,29.12.2024 | Ross County | Hearts | 2 | 2
20,29.12.2024,St. Mirren,Dundee FC,29.12.2024 | St. Mirren | Dundee FC | 1 | 2
19,26.12.2024,St. Mirren,Rangers,26.12.2024 | St. Mirren | Rangers | 2 | 1
19,26.12.2024,Celtic,Motherwell,26.12.2024 | Celtic | Motherwell | 4 | 0
19,26.12.2024,Dundee FC,Ross County,26.12.2024 | Dundee FC | Ross County | 0 | 3
19,26.12.2024,Kilmarnock,Aberdeen,26.12.2024 | Kilmarnock | Aberdeen | 4 | 0
19,26.12.2024,St Johnstone,Dundee Utd,26.12.2024 | St Johnstone | Dundee Utd | 1 | 2
19,26.12.2024,Hearts,Hibernian,26.12.2024 | Hearts | Hibernian | 1 | 2
18,22.12.2024,Hearts,St Johnstone,22.12.2024 | Hearts | St Johnstone | 2 | 1
18,22.12.2024,Dundee Utd,Celtic,22.12.2024 | Dundee Utd | Celtic | 0 | 0
18,21.12.2024,Aberdeen,Hibernian,21.12.2024 | Aberdeen | Hibernian | 1 | 3
18,21.12.2024,Rangers,Dundee FC,21.12.2024 | Rangers | Dundee FC | 1 | 0
18,21.12.2024,Ross County,St. Mirren,21.12.2024 | Ross County | St. Mirren | 1 | 2
18,20.12.2024,Motherwell,Kilmarnock,20.12.2024 | Motherwell | Kilmarnock | 1 | 1
17,15.12.2024,Kilmarnock,Hearts,15.12.2024 | Kilmarnock | Hearts | 1 | 0
17,14.12.2024,Hibernian,Ross County,14.12.2024 | Hibernian | Ross County | 3 | 1
17,14.12.2024,Motherwell,Dundee Utd,14.12.2024 | Motherwell | Dundee Utd | 4 | 3
17,14.12.2024,St Johnstone,St. Mirren,14.12.2024 | St Johnstone | St. Mirren | 2 | 3
16,08.12.2024,Ross County,Rangers,08.12.2024 | Ross County | Rangers | 0 | 3
16,07.12.2024,Aberdeen,St Johnstone,07.12.2024 | Aberdeen | St Johnstone | 1 | 1
16,07.12.2024,Celtic,Hibernian,07.12.2024 | Celtic | Hibernian | 3 | 0
16,07.12.2024,Dundee Utd,Kilmarnock,07.12.2024 | Dundee Utd | Kilmarnock | 1 | 1
16,07.12.2024,Hearts,Dundee FC,07.12.2024 | Hearts | Dundee FC | 2 | 0
16,07.12.2024,St. Mirren,Motherwell,07.12.2024 | St. Mirren | Motherwell | 0 | 1
15,04.12.2024,Aberdeen,Celtic,04.12.2024 | Aberdeen | Celtic | 0 | 1
15,04.12.2024,Dundee FC,Motherwell,04.12.2024 | Dundee FC | Motherwell | 4 | 1
15,04.12.2024,Rangers,Kilmarnock,04.12.2024 | Rangers | Kilmarnock | 6 | 0
14,01.12.2024,Hearts,Aberdeen,01.12.2024 | Hearts | Aberdeen | 1 | 1
14,01.12.2024,St Johnstone,Rangers,01.12.2024 | St Johnstone | Rangers | 0 | 1
14,30.11.2024,Celtic,Ross County,30.11.2024 | Celtic | Ross County | 5 | 0
14,30.11.2024,Dundee Utd,St. Mirren,30.11.2024 | Dundee Utd | St. Mirren | 2 | 0
14,30.11.2024,Kilmarnock,Dundee FC,30.11.2024 | Kilmarnock | Dundee FC | 1 | 1
14,30.11.2024,Motherwell,Hibernian,30.11.2024 | Motherwell | Hibernian | 0 | 3
11,26.11.2024,Hibernian,Aberdeen,26.11.2024 | Hibernian | Aberdeen | 3 | 3
13,23.11.2024,Hearts,Celtic,23.11.2024 | Hearts | Celtic | 1 | 4
13,23.11.2024,Dundee FC,Hibernian,23.11.2024 | Dundee FC | Hibernian | 4 | 1
13,23.11.2024,St. Mirren,Aberdeen,23.11.2024 | St. Mirren | Aberdeen | 2 | 1
13,23.11.2024,Rangers,Dundee Utd,23.11.2024 | Rangers | Dundee Utd | 1 | 1
13,23.11.2024,Ross County,Motherwell,23.11.2024 | Ross County | Motherwell | 2 | 1
13,23.11.2024,St Johnstone,Kilmarnock,23.11.2024 | St Johnstone | Kilmarnock | 1 | 0
12,10.11.2024,Rangers,Hearts,10.11.2024 | Rangers | Hearts | 1 | 0
12,10.11.2024,Kilmarnock,Celtic,10.11.2024 | Kilmarnock | Celtic | 0 | 2
12,09.11.2024,Aberdeen,Dundee FC,09.11.2024 | Aberdeen | Dundee FC | 4 | 1
12,09.11.2024,Dundee Utd,Ross County,09.11.2024 | Dundee Utd | Ross County | 3 | 0
12,09.11.2024,Hibernian,St. Mirren,09.11.2024 | Hibernian | St. Mirren | 1 | 2
12,09.11.2024,Motherwell,St Johnstone,09.11.2024 | Motherwell | St Johnstone | 2 | 1
23,03.11.2024,Dundee FC,Kilmarnock,03.11.2024 | Dundee FC | Kilmarnock | 3 | 2
15,03.11.2024,Hibernian,Dundee Utd,03.11.2024 | Hibernian | Dundee Utd | 1 | 1
11,02.11.2024,St Johnstone,Hearts,02.11.2024 | St Johnstone | Hearts | 1 | 2
11,02.11.2024,St. Mirren,Ross County,02.11.2024 | St. Mirren | Ross County | 0 | 0
10,30.10.2024,Aberdeen,Rangers,30.10.2024 | Aberdeen | Rangers | 2 | 1
10,30.10.2024,Celtic,Dundee FC,30.10.2024 | Celtic | Dundee FC | 2 | 0
10,30.10.2024,Dundee Utd,Motherwell,30.10.2024 | Dundee Utd | Motherwell | 1 | 2
10,30.10.2024,Hearts,Kilmarnock,30.10.2024 | Hearts | Kilmarnock | 1 | 2
10,30.10.2024,Ross County,Hibernian,30.10.2024 | Ross County | Hibernian | 0 | 0
10,30.10.2024,St. Mirren,St Johnstone,30.10.2024 | St. Mirren | St Johnstone | 3 | 1
9,27.10.2024,Motherwell,Celtic,27.10.2024 | Motherwell | Celtic | 0 | 3
9,27.10.2024,Rangers,St. Mirren,27.10.2024 | Rangers | St. Mirren | 2 | 1
9,27.10.2024,Hibernian,Hearts,27.10.2024 | Hibernian | Hearts | 1 | 1
9,26.10.2024,Aberdeen,Dundee Utd,26.10.2024 | Aberdeen | Dundee Utd | 1 | 0
9,26.10.2024,Dundee FC,St Johnstone,26.10.2024 | Dundee FC | St Johnstone | 1 | 2
9,26.10.2024,Ross County,Kilmarnock,26.10.2024 | Ross County | Kilmarnock | 2 | 1
8,20.10.2024,Kilmarnock,Rangers,20.10.2024 | Kilmarnock | Rangers | 1 | 0
8,19.10.2024,Celtic,Aberdeen,19.10.2024 | Celtic | Aberdeen | 2 | 2
8,19.10.2024,Dundee Utd,Hibernian,19.10.2024 | Dundee Utd | Hibernian | 3 | 2
8,19.10.2024,Hearts,St. Mirren,19.10.2024 | Hearts | St. Mirren | 4 | 0
8,19.10.2024,Motherwell,Dundee FC,19.10.2024 | Motherwell | Dundee FC | 0 | 1
8,19.10.2024,St Johnstone,Ross County,19.10.2024 | St Johnstone | Ross County | 2 | 3 | 0
7,06.10.2024,Rangers,St Johnstone,06.10.2024 | Rangers | St Johnstone | 2 | 0
7,06.10.2024,Aberdeen,Hearts,06.10.2024 | Aberdeen | Hearts | 3 | 2
