round,date,team_home,team_away,full_text
5,2024-10-29,Dun. Streda,Podbrezova,29.10.2024 | Dun. Streda | Podbrezova | 3 | 0
2,2024-10-29,Zilina,Ruzomberok,29.10.2024 | Zilina | Ruzomberok | 3 | 1
12,2024-10-27,Michalovce,Skalica,27.10.2024 | Michalovce | Skalica | 2 | 1
12,2024-10-27,Trencin,Trnava,27.10.2024 | Trencin | Trnava | 2 | 3
12,2024-10-26,Dun. Streda,Kosice,26.10.2024 | Dun. Streda | Kosice | 1 | 3
12,2024-10-26,Banska Bystrica,Ruzomberok,26.10.2024 | Banska Bystrica | Ruzomberok | 2 | 1
12,2024-10-26,Zilina,Podbrezova,26.10.2024 | Zilina | Podbrezova | 2 | 2
11,2024-10-20,Komarno,Podbrezova,20.10.2024 | Komarno | Podbrezova | 1 | 2
11,2024-10-20,Zilina,Banska Bystrica,20.10.2024 | Zilina | Banska Bystrica | 2 | 0
11,2024-10-19,Trnava,Slovan Bratislava,19.10.2024 | Trnava | Slovan Bratislava | 0 | 1
11,2024-10-19,Michalovce,Kosice,19.10.2024 | Michalovce | Kosice | 3 | 2
11,2024-10-19,Ruzomberok,Dun. Streda,19.10.2024 | Ruzomberok | Dun. Streda | 1 | 1
11,2024-10-19,Trencin,Skalica,19.10.2024 | Trencin | Skalica | 2 | 1
10,2024-10-06,Banska Bystrica,Michalovce,06.10.2024 | Banska Bystrica | Michalovce | 1 | 0
10,2024-10-06,Dun. Streda,Zilina,06.10.2024 | Dun. Streda | Zilina | 0 | 3
10,2024-10-05,Slovan Bratislava,Trencin,05.10.2024 | Slovan Bratislava | Trencin | 1 | 1
10,2024-10-05,Kosice,Ruzomberok,05.10.2024 | Kosice | Ruzomberok | 2 | 1
10,2024-10-05,Podbrezova,Trnava,05.10.2024 | Podbrezova | Trnava | 0 | 4
10,2024-10-05,Skalica,Komarno,05.10.2024 | Skalica | Komarno | 3 | 0
9,2024-09-29,Ruzomberok,Skalica,29.09.2024 | Ruzomberok | Skalica | 1 | 2
9,2024-09-29,Zilina,Komarno,29.09.2024 | Zilina | Komarno | 2 | 1
9,2024-09-28,Dun. Streda,Trnava,28.09.2024 | Dun. Streda | Trnava | 0 | 0
9,2024-09-28,Banska Bystrica,Kosice,28.09.2024 | Banska Bystrica | Kosice | 2 | 3
9,2024-09-28,Trencin,Podbrezova,28.09.2024 | Trencin | Podbrezova | 1 | 1
9,2024-09-27,Michalovce,Slovan Bratislava,27.09.2024 | Michalovce | Slovan Bratislava | 2 | 4
4,2024-09-24,Komarno,Ruzomberok,24.09.2024 | Komarno | Ruzomberok | 1 | 2
8,2024-09-22,Podbrezova,Michalovce,22.09.2024 | Podbrezova | Michalovce | 4 | 1
8,2024-09-22,Trnava,Banska Bystrica,22.09.2024 | Trnava | Banska Bystrica | 1 | 0
8,2024-09-21,Slovan Bratislava,Ruzomberok,21.09.2024 | Slovan Bratislava | Ruzomberok | 2 | 1
8,2024-09-21,Komarno,Trencin,21.09.2024 | Komarno | Trencin | 2 | 1
8,2024-09-21,Kosice,Zilina,21.09.2024 | Kosice | Zilina | 1 | 2
8,2024-09-21,Skalica,Dun. Streda,21.09.2024 | Skalica | Dun. Streda | 1 | 3
6,2024-09-17,Trencin,Dun. Streda,17.09.2024 | Trencin | Dun. Streda | 0 | 3
7,2024-09-15,Kosice,Trnava,15.09.2024 | Kosice | Trnava | 1 | 1
7,2024-09-15,Ruzomberok,Podbrezova,15.09.2024 | Ruzomberok | Podbrezova | 1 | 0
7,2024-09-14,Dun. Streda,Slovan Bratislava,14.09.2024 | Dun. Streda | Slovan Bratislava | 1 | 2
7,2024-09-14,Banska Bystrica,Komarno,14.09.2024 | Banska Bystrica | Komarno | 2 | 3
7,2024-09-14,Michalovce,Trencin,14.09.2024 | Michalovce | Trencin | 1 | 1
7,2024-09-14,Zilina,Skalica,14.09.2024 | Zilina | Skalica | 3 | 2
