round,date,team_home,team_away,full_text
20,22.02.2025,Melbourne Victory,Melbourne City,22.02.2025 | Melbourne Victory | Melbourne City | 2 | 2
20,22.02.2025,Central Coast Mariners,WS Wanderers,22.02.2025 | Central Coast Mariners | WS Wanderers | 0 | 4
20,22.02.2025,Auckland FC,Wellington Phoenix,22.02.2025 | Auckland FC | Wellington Phoenix | 6 | 1
20,21.02.2025,Newcastle Jets,Brisbane Roar,21.02.2025 | Newcastle Jets | Brisbane Roar | 3 | 1
19,16.02.2025,WS Wanderers,Macarthur FC,16.02.2025 | WS Wanderers | Macarthur FC | 2 | 1
19,15.02.2025,Adelaide United,Newcastle Jets,15.02.2025 | Adelaide United | Newcastle Jets | 1 | 2
19,15.02.2025,Western United,Auckland FC,15.02.2025 | Western United | Auckland FC | 0 | 2
19,15.02.2025,Melbourne City,Perth Glory,15.02.2025 | Melbourne City | Perth Glory | 1 | 0
19,14.02.2025,Melbourne Victory,Wellington Phoenix,14.02.2025 | Melbourne Victory | Wellington Phoenix | 1 | 0
18,09.02.2025,Macarthur FC,Western United,09.02.2025 | Macarthur FC | Western United | 2 | 2
18,08.02.2025,Sydney FC,WS Wanderers,08.02.2025 | Sydney FC | WS Wanderers | 3 | 3
18,08.02.2025,Newcastle Jets,Melbourne Victory,08.02.2025 | Newcastle Jets | Melbourne Victory | 3 | 0
18,07.02.2025,Perth Glory,Central Coast Mariners,07.02.2025 | Perth Glory | Central Coast Mariners | 1 | 1
18,07.02.2025,Adelaide United,Melbourne City,07.02.2025 | Adelaide United | Melbourne City | 1 | 0
18,06.02.2025,Wellington Phoenix,Brisbane Roar,06.02.2025 | Wellington Phoenix | Brisbane Roar | 1 | 1
17,01.02.2025,Perth Glory,Melbourne Victory,01.02.2025 | Perth Glory | Melbourne Victory | 0 | 2
17,01.02.2025,Central Coast Mariners,Newcastle Jets,01.02.2025 | Central Coast Mariners | Newcastle Jets | 2 | 2
17,01.02.2025,Sydney FC,Adelaide United,01.02.2025 | Sydney FC | Adelaide United | 4 | 1
17,01.02.2025,Auckland FC,Macarthur FC,01.02.2025 | Auckland FC | Macarthur FC | 2 | 1
17,31.01.2025,Brisbane Roar,WS Wanderers,31.01.2025 | Brisbane Roar | WS Wanderers | 0 | 1
14,29.01.2025,Western United,Central Coast Mariners,29.01.2025 | Western United | Central Coast Mariners | 2 | 2
16,26.01.2025,WS Wanderers,Auckland FC,26.01.2025 | WS Wanderers | Auckland FC | 0 | 1
16,25.01.2025,Macarthur FC,Melbourne City,25.01.2025 | Macarthur FC | Melbourne City | 1 | 0
16,25.01.2025,Newcastle Jets,Perth Glory,25.01.2025 | Newcastle Jets | Perth Glory | 2 | 2
16,25.01.2025,Wellington Phoenix,Central Coast Mariners,25.01.2025 | Wellington Phoenix | Central Coast Mariners | 0 | 0
16,24.01.2025,Melbourne Victory,Sydney FC,24.01.2025 | Melbourne Victory | Sydney FC | 2 | 0
14,22.01.2025,Adelaide United,Auckland FC,22.01.2025 | Adelaide United | Auckland FC | 2 | 2
15,20.01.2025,Macarthur FC,Wellington Phoenix,20.01.2025 | Macarthur FC | Wellington Phoenix | 1 | 2
15,18.01.2025,Adelaide United,Melbourne Victory,18.01.2025 | Adelaide United | Melbourne Victory | 3 | 2
15,18.01.2025,Sydney FC,Brisbane Roar,18.01.2025 | Sydney FC | Brisbane Roar | 3 | 4
15,18.01.2025,Auckland FC,Melbourne City,18.01.2025 | Auckland FC | Melbourne City | 3 | 0
15,17.01.2025,WS Wanderers,Central Coast Mariners,17.01.2025 | WS Wanderers | Central Coast Mariners | 1 | 3
