round,date,team_home,team_away,full_text
23,28.09.2025,Tromso,Stromsgodset,28.09.2025 | Tromso | Stromsgodset | 3 | 1
19,28.09.2025,Brann,Fredrikstad,28.09.2025 | Brann | Fredrikstad | 1 | 0
23,27.09.2025,Sarpsborg 08,Viking,27.09.2025 | Sarpsborg 08 | Viking | 3 | 3
22,21.09.2025,Viking,Molde,21.09.2025 | Viking | Molde | 1 | 0
22,21.09.2025,Kristiansund,Haugesund,21.09.2025 | Kristiansund | Haugesund | 2 | 0
22,21.09.2025,Stromsgodset,Sarpsborg 08,21.09.2025 | Stromsgodset | Sarpsborg 08 | 2 | 1
22,21.09.2025,Tromso,HamKam,21.09.2025 | Tromso | HamKam | 1 | 0
22,21.09.2025,Rosenborg,Bodo/Glimt,21.09.2025 | Rosenborg | Bodo/Glimt | 1 | 1
22,20.09.2025,Valerenga,KFUM Oslo,20.09.2025 | Valerenga | KFUM Oslo | 1 | 1
22,20.09.2025,Sandefjord,Brann,20.09.2025 | Sandefjord | Brann | 0 | 3
22,20.09.2025,Fredrikstad,Bryne,20.09.2025 | Fredrikstad | Bryne | 1 | 1
21,14.09.2025,Haugesund,Rosenborg,14.09.2025 | Haugesund | Rosenborg | 0 | 3
21,14.09.2025,KFUM Oslo,Viking,14.09.2025 | KFUM Oslo | Viking | 2 | 2
21,14.09.2025,HamKam,Stromsgodset,14.09.2025 | HamKam | Stromsgodset | 1 | 2
21,14.09.2025,Sarpsborg 08,Sandefjord,14.09.2025 | Sarpsborg 08 | Sandefjord | 2 | 1
21,14.09.2025,Bryne,Tromso,14.09.2025 | Bryne | Tromso | 0 | 2
21,13.09.2025,Brann,Valerenga,13.09.2025 | Brann | Valerenga | 3 | 2
21,13.09.2025,Molde,Fredrikstad,13.09.2025 | Molde | Fredrikstad | 1 | 2
21,12.09.2025,Bodo/Glimt,Kristiansund,12.09.2025 | Bodo/Glimt | Kristiansund | 7 | 1
20,31.08.2025,Stromsgodset,Molde,31.08.2025 | Stromsgodset | Molde | 3 | 1
20,31.08.2025,Fredrikstad,Haugesund,31.08.2025 | Fredrikstad | Haugesund | 2 | 2
20,31.08.2025,HamKam,Sarpsborg 08,31.08.2025 | HamKam | Sarpsborg 08 | 1 | 3
20,31.08.2025,Sandefjord,Bodo/Glimt,31.08.2025 | Sandefjord | Bodo/Glimt | 1 | 2
20,31.08.2025,Tromso,KFUM Oslo,31.08.2025 | Tromso | KFUM Oslo | 2 | 0
