round,date,team_home,team_away,full_text
26,13.04.2025,AS Denguele,Lys Sassandra,13.04.2025 | AS Denguele | Lys Sassandra | 2 | 0
26,13.04.2025,Bouake,Stade d'Abidjan,13.04.2025 | Bouake | Stade d'Abidjan | 0 | 1
26,12.04.2025,Racing d'Abidjan,Zoman,12.04.2025 | Racing d'Abidjan | Zoman | 1 | 1
26,12.04.2025,Academie de FAD,San Pedro,12.04.2025 | Academie de FAD | San Pedro | 2 | 1
26,12.04.2025,Korhogo,Olympique Sport,12.04.2025 | Korhogo | Olympique Sport | 1 | 1
26,12.04.2025,SO Armee,ISCA,12.04.2025 | SO Armee | ISCA | 2 | 0
25,01.04.2025,Lys Sassandra,Academie de FAD,01.04.2025 | Lys Sassandra | Academie de FAD | 0 | 1
25,01.04.2025,Olympique Sport,SO Armee,01.04.2025 | Olympique Sport | SO Armee | 1 | 0
25,01.04.2025,SOL,Racing d'Abidjan,01.04.2025 | SOL | Racing d'Abidjan | 1 | 2
25,30.03.2025,Zoman,Mouna,30.03.2025 | Zoman | Mouna | 2 | 2
25,30.03.2025,Stella Adjame,Bouake,30.03.2025 | Stella Adjame | Bouake | 0 | 1
25,28.03.2025,ISCA,ASEC Mimosas,28.03.2025 | ISCA | ASEC Mimosas | 0 | 1
25,28.03.2025,San Pedro,AS Denguele,28.03.2025 | San Pedro | AS Denguele | 2 | 0
25,28.03.2025,Stade d'Abidjan,Korhogo,28.03.2025 | Stade d'Abidjan | Korhogo | 1 | 1
24,23.03.2025,Stella Adjame,Stade d'Abidjan,23.03.2025 | Stella Adjame | Stade d'Abidjan | 1 | 0
24,23.03.2025,AS Denguele,Academie de FAD,23.03.2025 | AS Denguele | Academie de FAD | 1 | 2
24,23.03.2025,ASEC Mimosas,San Pedro,23.03.2025 | ASEC Mimosas | San Pedro | 3 | 0
24,23.03.2025,Bouake,Olympique Sport,23.03.2025 | Bouake | Olympique Sport | 2 | 0
24,23.03.2025,Korhogo,Racing d'Abidjan,23.03.2025 | Korhogo | Racing d'Abidjan | 2 | 2
24,22.03.2025,Zoman,ISCA,22.03.2025 | Zoman | ISCA | 1 | 1
24,22.03.2025,Mouna,SOL,22.03.2025 | Mouna | SOL | 2 | 0
24,22.03.2025,SO Armee,Lys Sassandra,22.03.2025 | SO Armee | Lys Sassandra | 1 | 0
23,13.03.2025,Olympique Sport,Mouna,13.03.2025 | Olympique Sport | Mouna | 2 | 2
23,13.03.2025,San Pedro,Zoman,13.03.2025 | San Pedro | Zoman | 3 | 2
23,12.03.2025,Stade d'Abidjan,ASEC Mimosas,12.03.2025 | Stade d'Abidjan | ASEC Mimosas | 0 | 0
23,12.03.2025,Racing d'Abidjan,Bouake,12.03.2025 | Racing d'Abidjan | Bouake | 1 | 1
23,12.03.2025,Lys Sassandra,Korhogo,12.03.2025 | Lys Sassandra | Korhogo | 1 | 2
23,12.03.2025,SOL,AS Denguele,12.03.2025 | SOL | AS Denguele | 3 | 0
23,11.03.2025,ISCA,Stella Adjame,11.03.2025 | ISCA | Stella Adjame | 0 | 1
23,11.03.2025,Academie de FAD,SO Armee,11.03.2025 | Academie de FAD | SO Armee | 1 | 1
22,09.03.2025,ASEC Mimosas,Zoman,09.03.2025 | ASEC Mimosas | Zoman | 3 | 1
22,09.03.2025,AS Denguele,Stade d'Abidjan,09.03.2025 | AS Denguele | Stade d'Abidjan | 1 | 0
22,09.03.2025,Mouna,Lys Sassandra,09.03.2025 | Mouna | Lys Sassandra | 1 | 2
22,08.03.2025,ISCA,San Pedro,08.03.2025 | ISCA | San Pedro | 0 | 2
22,08.03.2025,Korhogo,SOL,08.03.2025 | Korhogo | SOL | 1 | 1
22,08.03.2025,SO Armee,Racing d'Abidjan,08.03.2025 | SO Armee | Racing d'Abidjan | 1 | 1
22,07.03.2025,Stella Adjame,Olympique Sport,07.03.2025 | Stella Adjame | Olympique Sport | 0 | 2
22,07.03.2025,Academie de FAD,Bouake,07.03.2025 | Academie de FAD | Bouake | 3 | 2
21,03.03.2025,Olympique Sport,Academie de FAD,03.03.2025 | Olympique Sport | Academie de FAD | 1 | 1
21,03.03.2025,SOL,Stade d'Abidjan,03.03.2025 | SOL | Stade d'Abidjan | 1 | 4
21,02.03.2025,Zoman,SO Armee,02.03.2025 | Zoman | SO Armee | 0 | 2
21,02.03.2025,Mouna,ASEC Mimosas,02.03.2025 | Mouna | ASEC Mimosas | 0 | 1
21,02.03.2025,Racing d'Abidjan,AS Denguele,02.03.2025 | Racing d'Abidjan | AS Denguele | 2 | 1
21,02.03.2025,San Pedro,Stella Adjame,02.03.2025 | San Pedro | Stella Adjame | 2 | 0
21,01.03.2025,Bouake,Korhogo,01.03.2025 | Bouake | Korhogo | 0 | 0
21,01.03.2025,Lys Sassandra,ISCA,01.03.2025 | Lys Sassandra | ISCA | 0 | 1
19,26.02.2025,AS Denguele,Olympique Sport,26.02.2025 | AS Denguele | Olympique Sport | 0 | 1
20,23.02.2025,ISCA,Bouake,23.02.2025 | ISCA | Bouake | 0 | 2
20,23.02.2025,Academie de FAD,Zoman,23.02.2025 | Academie de FAD | Zoman | 0 | 0
20,23.02.2025,AS Denguele,Mouna,23.02.2025 | AS Denguele | Mouna | 1 | 1
20,23.02.2025,ASEC Mimosas,Racing d'Abidjan,23.02.2025 | ASEC Mimosas | Racing d'Abidjan | 0 | 1
20,23.02.2025,San Pedro,SOL,23.02.2025 | San Pedro | SOL | 1 | 2
20,23.02.2025,SO Armee,Korhogo,23.02.2025 | SO Armee | Korhogo | 0 | 0
20,22.02.2025,Stade d'Abidjan,Olympique Sport,22.02.2025 | Stade d'Abidjan | Olympique Sport | 2 | 1
