round,date,team_home,team_away,full_text
12,20.10.2024,Aalborg,Randers FC,20.10.2024 | Aalborg | Randers FC | 0 | 2
12,20.10.2024,Lyngby,Viborg,20.10.2024 | Lyngby | Viborg | 0 | 0
12,18.10.2024,FC Copenhagen,Vejle,18.10.2024 | FC Copenhagen | Vejle | 3 | 1
11,06.10.2024,Silkeborg,FC Copenhagen,06.10.2024 | Silkeborg | FC Copenhagen | 2 | 2
11,06.10.2024,Brondby,Midtjylland,06.10.2024 | Brondby | Midtjylland | 2 | 0
11,06.10.2024,Viborg,Aarhus,06.10.2024 | Viborg | Aarhus | 1 | 1
11,06.10.2024,Randers FC,Lyngby,06.10.2024 | Randers FC | Lyngby | 1 | 1
11,06.10.2024,Sonderjyske,Nordsjaelland,06.10.2024 | Sonderjyske | Nordsjaelland | 1 | 4
11,04.10.2024,Vejle,Aalborg,04.10.2024 | Vejle | Aalborg | 2 | 2
10,30.09.2024,Nordsjaelland,Brondby,30.09.2024 | Nordsjaelland | Brondby | 4 | 1
10,29.09.2024,Vejle,FC Copenhagen,29.09.2024 | Vejle | FC Copenhagen | 1 | 2
10,29.09.2024,Lyngby,Silkeborg,29.09.2024 | Lyngby | Silkeborg | 2 | 2
10,29.09.2024,Aalborg,Sonderjyske,29.09.2024 | Aalborg | Sonderjyske | 3 | 0
10,29.09.2024,Midtjylland,Viborg,29.09.2024 | Midtjylland | Viborg | 3 | 1
10,28.09.2024,Aarhus,Randers FC,28.09.2024 | Aarhus | Randers FC | 2 | 2
9,23.09.2024,FC Copenhagen,Aalborg,23.09.2024 | FC Copenhagen | Aalborg | 2 | 0
9,22.09.2024,Silkeborg,Brondby,22.09.2024 | Silkeborg | Brondby | 3 | 3
9,22.09.2024,Lyngby,Aarhus,22.09.2024 | Lyngby | Aarhus | 0 | 0
9,22.09.2024,Randers FC,Midtjylland,22.09.2024 | Randers FC | Midtjylland | 2 | 2
9,22.09.2024,Sonderjyske,Vejle,22.09.2024 | Sonderjyske | Vejle | 2 | 1
9,20.09.2024,Viborg,Nordsjaelland,20.09.2024 | Viborg | Nordsjaelland | 3 | 2
8,16.09.2024,Nordsjaelland,Randers FC,16.09.2024 | Nordsjaelland | Randers FC | 1 | 1
8,15.09.2024,Brondby,Sonderjyske,15.09.2024 | Brondby | Sonderjyske | 2 | 0
8,15.09.2024,Vejle,Viborg,15.09.2024 | Vejle | Viborg | 0 | 5
8,15.09.2024,Aarhus,Silkeborg,15.09.2024 | Aarhus | Silkeborg | 1 | 1
8,14.09.2024,Midtjylland,FC Copenhagen,14.09.2024 | Midtjylland | FC Copenhagen | 2 | 1
8,13.09.2024,Aalborg,Lyngby,13.09.2024 | Aalborg | Lyngby | 2 | 1
7,01.09.2024,Randers FC,Aalborg,01.09.2024 | Randers FC | Aalborg | 1 | 0
7,01.09.2024,Silkeborg,Midtjylland,01.09.2024 | Silkeborg | Midtjylland | 1 | 3
7,01.09.2024,FC Copenhagen,Brondby,01.09.2024 | FC Copenhagen | Brondby | 3 | 1
7,01.09.2024,Sonderjyske,Viborg,01.09.2024 | Sonderjyske | Viborg | 2 | 2
7,31.08.2024,Aarhus,Nordsjaelland,31.08.2024 | Aarhus | Nordsjaelland | 4 | 2
7,30.08.2024,Lyngby,Vejle,30.08.2024 | Lyngby | Vejle | 1 | 0
6,26.08.2024,Viborg,Lyngby,26.08.2024 | Viborg | Lyngby | 1 | 0
6,25.08.2024,Brondby,Randers FC,25.08.2024 | Brondby | Randers FC | 2 | 2
6,25.08.2024,Nordsjaelland,FC Copenhagen,25.08.2024 | Nordsjaelland | FC Copenhagen | 3 | 2
6,25.08.2024,Vejle,Silkeborg,25.08.2024 | Vejle | Silkeborg | 1 | 3
6,24.08.2024,Midtjylland,Sonderjyske,24.08.2024 | Midtjylland | Sonderjyske | 3 | 2
6,23.08.2024,Aalborg,Aarhus,23.08.2024 | Aalborg | Aarhus | 0 | 4
5,19.08.2024,Aarhus,Vejle,19.08.2024 | Aarhus | Vejle | 5 | 1
5,18.08.2024,Aalborg,Brondby,18.08.2024 | Aalborg | Brondby | 0 | 4
5,18.08.2024,FC Copenhagen,Viborg,18.08.2024 | FC Copenhagen | Viborg | 1 | 1
5,18.08.2024,Randers FC,Sonderjyske,18.08.2024 | Randers FC | Sonderjyske | 1 | 2
5,18.08.2024,Silkeborg,Nordsjaelland,18.08.2024 | Silkeborg | Nordsjaelland | 4 | 1
5,16.08.2024,Lyngby,Midtjylland,16.08.2024 | Lyngby | Midtjylland | 1 | 2
4,12.08.2024,Viborg,Aalborg,12.08.2024 | Viborg | Aalborg | 2 | 3
4,11.08.2024,Sonderjyske,FC Copenhagen,11.08.2024 | Sonderjyske | FC Copenhagen | 0 | 2
4,11.08.2024,Brondby,Aarhus,11.08.2024 | Brondby | Aarhus | 0 | 1
4,11.08.2024,Nordsjaelland,Lyngby,11.08.2024 | Nordsjaelland | Lyngby | 1 | 1
4,11.08.2024,Randers FC,Silkeborg,11.08.2024 | Randers FC | Silkeborg | 0 | 2
