round,date,team_home,team_away,full_text
14,17.05.2025,Gimcheon Sangmu,Jeju SK,17.05.2025 | Gimcheon Sangmu | Jeju SK | 1 | 1
14,17.05.2025,Jeonbuk,Anyang,17.05.2025 | Jeonbuk | Anyang | 2 | 0
13,11.05.2025,Gangwon,Gimcheon Sangmu,11.05.2025 | Gangwon | Gimcheon Sangmu | 0 | 4
13,11.05.2025,Gwangju FC,Jeonbuk,11.05.2025 | Gwangju FC | Jeonbuk | 0 | 1
13,11.05.2025,Jeju SK,Ulsan HD,11.05.2025 | Jeju SK | Ulsan HD | 1 | 2
13,10.05.2025,Anyang,Daegu,10.05.2025 | Anyang | Daegu | 2 | 2
13,10.05.2025,Daejeon,Seoul,10.05.2025 | Daejeon | Seoul | 0 | 0
13,10.05.2025,Pohang,Suwon FC,10.05.2025 | Pohang | Suwon FC | 2 | 0
12,06.05.2025,Anyang,Seoul,06.05.2025 | Anyang | Seoul | 1 | 1
12,06.05.2025,Suwon FC,Daegu,06.05.2025 | Suwon FC | Daegu | 2 | 1
12,06.05.2025,Jeju SK,Gangwon,06.05.2025 | Jeju SK | Gangwon | 0 | 3
12,06.05.2025,Jeonbuk,Daejeon,06.05.2025 | Jeonbuk | Daejeon | 1 | 1
12,05.05.2025,Gwangju FC,Gimcheon Sangmu,05.05.2025 | Gwangju FC | Gimcheon Sangmu | 1 | 0
12,05.05.2025,Ulsan HD,Pohang,05.05.2025 | Ulsan HD | Pohang | 1 | 1
11,03.05.2025,Gangwon,Suwon FC,03.05.2025 | Gangwon | Suwon FC | 0 | 0
11,03.05.2025,Seoul,Jeonbuk,03.05.2025 | Seoul | Jeonbuk | 0 | 1
11,03.05.2025,Daegu,Jeju SK,03.05.2025 | Daegu | Jeju SK | 3 | 1
11,03.05.2025,Daejeon,Anyang,03.05.2025 | Daejeon | Anyang | 2 | 1
11,02.05.2025,Pohang,Gimcheon Sangmu,02.05.2025 | Pohang | Gimcheon Sangmu | 1 | 2
11,02.05.2025,Ulsan HD,Gwangju FC,02.05.2025 | Ulsan HD | Gwangju FC | 3 | 0
10,27.04.2025,Daejeon,Gangwon,27.04.2025 | Daejeon | Gangwon | 1 | 0
10,27.04.2025,Gimcheon Sangmu,Ulsan HD,27.04.2025 | Gimcheon Sangmu | Ulsan HD | 2 | 0
10,27.04.2025,Pohang,Seoul,27.04.2025 | Pohang | Seoul | 1 | 0
10,26.04.2025,Anyang,Jeju SK,26.04.2025 | Anyang | Jeju SK | 2 | 1
10,26.04.2025,Suwon FC,Jeonbuk,26.04.2025 | Suwon FC | Jeonbuk | 1 | 2
19,23.04.2025,Anyang,Ulsan HD,23.04.2025 | Anyang | Ulsan HD | 0 | 1
9,20.04.2025,Jeju SK,Pohang,20.04.2025 | Jeju SK | Pohang | 2 | 0
9,20.04.2025,Jeonbuk,Daegu,20.04.2025 | Jeonbuk | Daegu | 3 | 1
9,19.04.2025,Seoul,Gwangju FC,19.04.2025 | Seoul | Gwangju FC | 1 | 2
9,19.04.2025,Anyang,Suwon FC,19.04.2025 | Anyang | Suwon FC | 3 | 1
9,19.04.2025,Gimcheon Sangmu,Daejeon,19.04.2025 | Gimcheon Sangmu | Daejeon | 0 | 2
9,19.04.2025,Ulsan HD,Gangwon,19.04.2025 | Ulsan HD | Gangwon | 1 | 2
8,13.04.2025,Daegu,Ulsan HD,13.04.2025 | Daegu | Ulsan HD | 0 | 1
8,13.04.2025,Jeonbuk,Jeju SK,13.04.2025 | Jeonbuk | Jeju SK | 1 | 1
8,13.04.2025,Gangwon,Gwangju FC,13.04.2025 | Gangwon | Gwangju FC | 1 | 0
8,12.04.2025,Pohang,Anyang,12.04.2025 | Pohang | Anyang | 2 | 1
