round,date,team_home,team_away,full_text
22,31.08.2025,AIK,Sirius,31.08.2025 | AIK | Sirius | 2 | 1
22,31.08.2025,Malmo FF,Degerfors,31.08.2025 | Malmo FF | Degerfors | 1 | 1
22,31.08.2025,Norrkoping,Djurgarden,31.08.2025 | Norrkoping | Djurgarden | 0 | 4
22,30.08.2025,Mjallby,Halmstad,30.08.2025 | Mjallby | Halmstad | 1 | 0
22,30.08.2025,Brommapojkarna,Elfsborg,30.08.2025 | Brommapojkarna | Elfsborg | 3 | 0
22,30.08.2025,Goteborg,Varnamo,30.08.2025 | Goteborg | Varnamo | 1 | 0
21,25.08.2025,GAIS,Mjallby,25.08.2025 | GAIS | Mjallby | 0 | 2
21,25.08.2025,Oster,Norrkoping,25.08.2025 | Oster | Norrkoping | 1 | 2
21,24.08.2025,Degerfors,AIK,24.08.2025 | Degerfors | AIK | 0 | 1
21,24.08.2025,Elfsborg,Halmstad,24.08.2025 | Elfsborg | Halmstad | 1 | 2
21,24.08.2025,Malmo FF,Goteborg,24.08.2025 | Malmo FF | Goteborg | 0 | 0
21,24.08.2025,Varnamo,Hacken,24.08.2025 | Varnamo | Hacken | 1 | 5
21,24.08.2025,Djurgarden,Brommapojkarna,24.08.2025 | Djurgarden | Brommapojkarna | 1 | 0
21,24.08.2025,Sirius,Hammarby,24.08.2025 | Sirius | Hammarby | 3 | 1
20,18.08.2025,Varnamo,Degerfors,18.08.2025 | Varnamo | Degerfors | 3 | 2
20,17.08.2025,Hacken,Oster,17.08.2025 | Hacken | Oster | 0 | 2
20,17.08.2025,Hammarby,GAIS,17.08.2025 | Hammarby | GAIS | 1 | 2
20,17.08.2025,Mjallby,Djurgarden,17.08.2025 | Mjallby | Djurgarden | 1 | 1
20,17.08.2025,Brommapojkarna,Sirius,17.08.2025 | Brommapojkarna | Sirius | 2 | 4
20,17.08.2025,Goteborg,AIK,17.08.2025 | Goteborg | AIK | 2 | 1
20,16.08.2025,Norrkoping,Elfsborg,16.08.2025 | Norrkoping | Elfsborg | 2 | 1
20,16.08.2025,Halmstad,Malmo FF,16.08.2025 | Halmstad | Malmo FF | 0 | 4
19,11.08.2025,Elfsborg,Varnamo,11.08.2025 | Elfsborg | Varnamo | 2 | 2
19,11.08.2025,GAIS,Goteborg,11.08.2025 | GAIS | Goteborg | 0 | 1
