round,date,team_home,team_away,full_text
23,09.03.2025,Debrecen,Ferencvaros,09.03.2025 | Debrecen | Ferencvaros | 0 | 1
23,09.03.2025,Ujpest,Puskas Academy,09.03.2025 | Ujpest | Puskas Academy | 1 | 1
23,08.03.2025,DVTK,Paks,08.03.2025 | DVTK | Paks | 0 | 2
23,08.03.2025,Zalaegerszegi,MTK Budapest,08.03.2025 | Zalaegerszegi | MTK Budapest | 1 | 1
23,08.03.2025,Nyiregyhaza,Gyor,08.03.2025 | Nyiregyhaza | Gyor | 0 | 1
23,07.03.2025,Kecskemeti TE,Videoton,07.03.2025 | Kecskemeti TE | Videoton | 2 | 2
22,02.03.2025,Ferencvaros,Gyor,02.03.2025 | Ferencvaros | Gyor | 2 | 2
22,02.03.2025,Kecskemeti TE,Paks,02.03.2025 | Kecskemeti TE | Paks | 2 | 2
22,02.03.2025,Debrecen,Videoton,02.03.2025 | Debrecen | Videoton | 1 | 2
22,01.03.2025,Ujpest,MTK Budapest,01.03.2025 | Ujpest | MTK Budapest | 1 | 5
22,01.03.2025,DVTK,Puskas Academy,01.03.2025 | DVTK | Puskas Academy | 2 | 1
22,01.03.2025,Zalaegerszegi,Nyiregyhaza,01.03.2025 | Zalaegerszegi | Nyiregyhaza | 0 | 0
21,23.02.2025,Videoton,Ferencvaros,23.02.2025 | Videoton | Ferencvaros | 1 | 3
21,23.02.2025,Gyor,Zalaegerszegi,23.02.2025 | Gyor | Zalaegerszegi | 2 | 0
21,22.02.2025,Nyiregyhaza,Ujpest,22.02.2025 | Nyiregyhaza | Ujpest | 0 | 0
21,22.02.2025,Paks,Debrecen,22.02.2025 | Paks | Debrecen | 4 | 3
21,22.02.2025,Puskas Academy,Kecskemeti TE,22.02.2025 | Puskas Academy | Kecskemeti TE | 4 | 2
21,21.02.2025,MTK Budapest,DVTK,21.02.2025 | MTK Budapest | DVTK | 4 | 0
20,16.02.2025,Ferencvaros,Paks,16.02.2025 | Ferencvaros | Paks | 0 | 2
20,16.02.2025,Ujpest,Zalaegerszegi,16.02.2025 | Ujpest | Zalaegerszegi | 1 | 2
20,15.02.2025,Debrecen,Puskas Academy,15.02.2025 | Debrecen | Puskas Academy | 1 | 2
20,15.02.2025,DVTK,Nyiregyhaza,15.02.2025 | DVTK | Nyiregyhaza | 1 | 2
20,15.02.2025,Kecskemeti TE,MTK Budapest,15.02.2025 | Kecskemeti TE | MTK Budapest | 5 | 0
20,14.02.2025,Videoton,Gyor,14.02.2025 | Videoton | Gyor | 0 | 1
19,09.02.2025,Puskas Academy,Ferencvaros,09.02.2025 | Puskas Academy | Ferencvaros | 1 | 0
