round,date,team_home,team_away,full_text
32,10.05.2025,Almere City,Sparta Rotterdam,10.05.2025 | Almere City | Sparta Rotterdam | 0 | 3
32,10.05.2025,Sittard,NAC Breda,10.05.2025 | Sittard | NAC Breda | 1 | 0
32,10.05.2025,Waalwijk,Heerenveen,10.05.2025 | Waalwijk | Heerenveen | 3 | 1
32,09.05.2025,Willem II,Heracles,09.05.2025 | Willem II | Heracles | 1 | 2
31,04.05.2025,G.A. Eagles,AZ Alkmaar,04.05.2025 | G.A. Eagles | AZ Alkmaar | 0 | 3
31,04.05.2025,Sparta Rotterdam,Twente,04.05.2025 | Sparta Rotterdam | Twente | 0 | 2
31,04.05.2025,NAC Breda,Zwolle,04.05.2025 | NAC Breda | Zwolle | 1 | 3
31,03.05.2025,PSV,Sittard,03.05.2025 | PSV | Sittard | 4 | 1
31,03.05.2025,Groningen,Waalwijk,03.05.2025 | Groningen | Waalwijk | 6 | 1
31,03.05.2025,Heracles,Feyenoord,03.05.2025 | Heracles | Feyenoord | 1 | 4
31,03.05.2025,Nijmegen,Willem II,03.05.2025 | Nijmegen | Willem II | 1 | 1
30,27.04.2025,Almere City,G.A. Eagles,27.04.2025 | Almere City | G.A. Eagles | 0 | 0
30,27.04.2025,Ajax,Sparta Rotterdam,27.04.2025 | Ajax | Sparta Rotterdam | 1 | 1
30,27.04.2025,Heerenveen,Nijmegen,27.04.2025 | Heerenveen | Nijmegen | 1 | 0
30,27.04.2025,Sittard,Willem II,27.04.2025 | Sittard | Willem II | 1 | 0
30,25.04.2025,Feyenoord,Zwolle,25.04.2025 | Feyenoord | Zwolle | 4 | 0
30,25.04.2025,Waalwijk,Utrecht,25.04.2025 | Waalwijk | Utrecht | 0 | 4
30,24.04.2025,Twente,PSV,24.04.2025 | Twente | PSV | 1 | 3
30,24.04.2025,AZ Alkmaar,NAC Breda,24.04.2025 | AZ Alkmaar | NAC Breda | 1 | 1
30,23.04.2025,Groningen,Heracles,23.04.2025 | Groningen | Heracles | 4 | 1
31,20.04.2025,Utrecht,Ajax,20.04.2025 | Utrecht | Ajax | 4 | 0
31,19.04.2025,Heerenveen,Almere City,19.04.2025 | Heerenveen | Almere City | 2 | 1
29,13.04.2025,Willem II,Ajax,13.04.2025 | Willem II | Ajax | 1 | 2
29,13.04.2025,Heracles,AZ Alkmaar,13.04.2025 | Heracles | AZ Alkmaar | 1 | 0
29,13.04.2025,Zwolle,Twente,13.04.2025 | Zwolle | Twente | 1 | 1
29,13.04.2025,Utrecht,Groningen,13.04.2025 | Utrecht | Groningen | 3 | 1
29,12.04.2025,NAC Breda,G.A. Eagles,12.04.2025 | NAC Breda | G.A. Eagles | 1 | 1
29,12.04.2025,PSV,Almere City,12.04.2025 | PSV | Almere City | 5 | 0
29,12.04.2025,Sparta Rotterdam,Heerenveen,12.04.2025 | Sparta Rotterdam | Heerenveen | 3 | 1
29,12.04.2025,Sittard,Feyenoord,12.04.2025 | Sittard | Feyenoord | 0 | 2
29,11.04.2025,Nijmegen,Waalwijk,11.04.2025 | Nijmegen | Waalwijk | 2 | 1
