round,date,team_home,team_away,full_text
4,30.08.2024,Waalwijk,AZ Alkmaar,30.08.2024 | Waalwijk | AZ Alkmaar | 0 | 3
3,25.08.2024,G.A. Eagles,Waalwijk,25.08.2024 | G.A. Eagles | Waalwijk | 2 | 0
3,25.08.2024,Heracles,Willem II,25.08.2024 | Heracles | Willem II | 1 | 1
3,25.08.2024,Sparta Rotterdam,Feyenoord,25.08.2024 | Sparta Rotterdam | Feyenoord | 1 | 1
3,25.08.2024,Groningen,AZ Alkmaar,25.08.2024 | Groningen | AZ Alkmaar | 0 | 0
3,24.08.2024,NAC Breda,Utrecht,24.08.2024 | NAC Breda | Utrecht | 1 | 2
3,24.08.2024,Almere City,PSV,24.08.2024 | Almere City | PSV | 1 | 7
3,24.08.2024,Nijmegen,Zwolle,24.08.2024 | Nijmegen | Zwolle | 1 | 0
2,18.08.2024,NAC Breda,Ajax,18.08.2024 | NAC Breda | Ajax | 2 | 1
2,18.08.2024,Willem II,G.A. Eagles,18.08.2024 | Willem II | G.A. Eagles | 2 | 0
2,18.08.2024,Zwolle,Feyenoord,18.08.2024 | Zwolle | Feyenoord | 1 | 5
2,18.08.2024,Heracles,PSV,18.08.2024 | Heracles | PSV | 1 | 3
2,17.08.2024,Waalwijk,Groningen,17.08.2024 | Waalwijk | Groningen | 1 | 2
2,17.08.2024,AZ Alkmaar,Nijmegen,17.08.2024 | AZ Alkmaar | Nijmegen | 1 | 0
2,17.08.2024,Twente,Sparta Rotterdam,17.08.2024 | Twente | Sparta Rotterdam | 1 | 1
2,17.08.2024,Heerenveen,Utrecht,17.08.2024 | Heerenveen | Utrecht | 1 | 1
2,16.08.2024,Sittard,Almere City,16.08.2024 | Sittard | Almere City | 3 | 0
1,11.08.2024,Ajax,Heerenveen,11.08.2024 | Ajax | Heerenveen | 1 | 0
1,11.08.2024,G.A. Eagles,Sittard,11.08.2024 | G.A. Eagles | Sittard | 0 | 2
1,11.08.2024,Utrecht,Zwolle,11.08.2024 | Utrecht | Zwolle | 1 | 0
1,11.08.2024,Sparta Rotterdam,Heracles,11.08.2024 | Sparta Rotterdam | Heracles | 0 | 0
1,10.08.2024,PSV,Waalwijk,10.08.2024 | PSV | Waalwijk | 5 | 1
1,10.08.2024,Almere City,AZ Alkmaar,10.08.2024 | Almere City | 2 | AZ Alkmaar | 0 | 1
1,10.08.2024,Nijmegen,Twente,10.08.2024 | Nijmegen | Twente | 1 | 2
1,10.08.2024,Feyenoord,Willem II,10.08.2024 | Feyenoord | Willem II | 1 | 1
1,09.08.2024,Groningen,NAC Breda,09.08.2024 | Groningen | NAC Breda | 4 | 1
